Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
113,113,Aug 5,,NYY,W5-4,47,40,5,10,1,0,1,4,6,1,17,1,0,0,2,0,0,1,.269,.336,.457,.794,13,11,R,M.Tanaka (56)
114,114,Aug 7,@,TOR,W10-7,43,38,10,9,2,1,3,10,5,0,8,0,0,0,1,2,1,0,.269,.336,.459,.795,3,9,R,M.Stroman (72)
115,115,Aug 8,@,TOR,W10-5,45,34,10,12,6,0,1,9,8,1,6,1,0,2,0,2,1,1,.269,.338,.460,.798,8,9,R,M.Hauschild (32)
116,116,Aug 9,@,TOR,L5-8,39,35,5,10,1,1,2,5,4,0,5,0,0,0,0,1,1,1,.269,.338,.461,.799,7,10,L,R.Borucki (32)
117,117,Aug 10,@,BAL,W19-12,53,41,19,16,5,1,3,18,10,1,6,1,0,1,0,1,1,0,.271,.340,.464,.804,7,11,R,D.Bundy (20)
118,118,Aug 11 (1),@,BAL,W5-0,38,35,5,9,1,0,3,4,3,0,5,0,0,0,0,1,1,0,.270,.340,.465,.804,6,9,R,J.Yacabonis (44)
119,119,Aug 11 (2),@,BAL,W6-4,38,30,6,7,1,1,2,5,6,0,7,1,0,1,0,1,2,1,.270,.340,.465,.805,5,11,R,Y.Ramirez (56)
120,120,Aug 12,@,BAL,W4-1,38,35,4,9,3,0,1,3,2,1,9,0,1,0,0,0,1,0,.270,.340,.465,.804,7,9,R,A.Cobb (64)
121,121,Aug 14,@,PHI,W2-1,34,32,2,6,2,0,2,2,2,0,8,0,0,0,1,2,1,0,.269,.339,.465,.803,5,12,R,N.Pivetta (67)
122,122,Aug 15,@,PHI,L4-7,40,35,4,10,1,0,0,4,4,0,6,1,0,0,1,2,0,1,.270,.339,.463,.802,9,15,R,V.Velasquez (35)
123,123,Aug 17,,TBR,W7-3,37,35,7,11,5,1,0,6,2,0,2,0,0,0,0,0,0,0,.270,.339,.464,.803,6,9,R,R.Stanek (40)
124,124,Aug 18,,TBR,W5-2,30,27,5,4,2,0,1,4,3,0,5,0,0,0,1,0,2,1,.269,.339,.463,.801,1,9,R,T.Glasnow (51)
125,125,Aug 19,,TBR,L0-2,30,28,0,2,1,0,0,0,2,0,10,0,0,0,1,2,0,0,.268,.337,.461,.798,3,11,R,D.Castillo (53)
126,126,Aug 20,,CLE,L4-5,42,39,4,13,4,0,0,4,3,0,8,0,0,0,0,0,0,1,.269,.338,.460,.798,11,12,R,C.Kluber (48)
127,127,Aug 21,,CLE,L3-6,32,31,3,5,3,0,0,3,0,0,9,0,0,1,1,1,0,0,.268,.336,.459,.795,2,11,R,S.Bieber (56)
128,128,Aug 22,,CLE,W10-4,41,38,10,14,2,0,3,10,3,0,10,0,0,0,1,0,0,1,.269,.337,.461,.798,7,9,R,C.Carrasco (28)
129,129,Aug 23,,CLE,W7-0,41,35,7,12,4,0,0,7,6,2,7,0,0,0,0,0,0,1,.269,.338,.461,.799,10,10,R,A.Plutko (32)
130,130,Aug 24,@,TBR,L3-10,41,38,3,13,0,0,0,3,3,0,11,0,0,0,0,2,0,0,.270,.338,.460,.798,11,9,R,D.Castillo (55)
131,131,Aug 25,@,TBR,L1-5,31,30,1,5,2,0,0,0,1,0,6,0,0,0,0,1,1,0,.269,.337,.458,.796,3,9,L,R.Yarbrough (54)
132,132,Aug 26,@,TBR,L1-9,31,28,1,3,1,0,0,1,2,0,9,0,0,1,0,0,1,0,.268,.336,.456,.793,3,10,L,B.Snell (70)
133,133,Aug 28,,MIA,W8-7,42,35,8,12,2,0,1,6,6,1,3,0,0,1,0,2,1,0,.269,.337,.456,.794,8,10,R,J.Urena (43)
134,134,Aug 29,,MIA,W14-6,41,37,14,16,4,1,2,13,3,1,6,0,1,0,0,2,0,0,.270,.338,.459,.797,3,11,R,T.Richards (55)
135,135,Aug 30,@,CHW,W9-4,42,35,9,9,0,0,2,9,5,0,11,1,0,1,1,0,0,1,.270,.338,.459,.797,6,10,R,L.Giolito (71)
136,136,Aug 31,@,CHW,L1-6,34,30,1,5,1,0,1,1,2,0,6,2,0,0,0,0,0,2,.269,.338,.458,.796,6,11,R,M.Kopech (57)
137,137,Sep 1,@,CHW,W6-1,39,36,6,9,1,1,3,5,2,0,5,1,0,0,2,2,0,0,.269,.338,.459,.796,6,10,L,C.Rodon (45)
138,138,Sep 2,@,CHW,L0-8,35,31,0,5,0,0,0,0,3,0,12,1,0,0,0,1,2,0,.268,.337,.457,.794,8,16,R,J.Shields (68)
139,139,Sep 3,@,ATL,W8-2,43,36,8,10,5,0,0,8,6,2,8,0,0,1,1,1,0,0,.269,.337,.456,.794,8,20,R,T.Toussaint (48)
140,140,Sep 4,@,ATL,W5-1,44,35,5,8,2,0,0,5,9,1,7,0,0,0,0,0,2,0,.268,.338,.455,.793,12,15,L,S.Newcomb (40)
141,141,Sep 5,@,ATL,W9-8,42,37,9,11,1,0,1,9,4,1,8,0,0,1,1,1,0,0,.268,.338,.455,.793,6,21,R,M.Foltynewicz (67)
142,142,Sep 7,,HOU,L3-6,39,34,3,8,0,0,1,3,4,0,11,0,0,1,0,0,0,1,.268,.338,.454,.792,9,13,R,G.Cole (60)
143,143,Sep 8,,HOU,L3-5,39,36,3,10,2,0,1,3,3,0,8,0,0,0,0,1,0,0,.268,.338,.454,.791,9,10,R,C.Morton (46)
