Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
99,99,Jul 26,,LAD,L2-8,36,35,2,7,1,0,1,2,1,0,10,0,0,0,1,0,0,0,.260,.328,.422,.750,7,15,L,R.Hill (78)
100,100,Jul 27,,LAD,L1-4,33,32,1,6,1,0,0,1,0,0,10,1,0,0,0,0,0,0,.260,.327,.420,.747,5,15,L,C.Kershaw (71)
101,101,Jul 28,,LAD,L1-5,34,29,1,3,1,0,1,1,4,1,8,1,0,0,2,3,0,0,.258,.326,.419,.745,6,16,L,A.Wood (68)
102,102,Jul 29,,LAD,W4-1,34,32,4,8,3,0,1,4,2,0,9,0,0,0,0,0,1,0,.258,.326,.419,.745,6,10,R,R.Stripling (36)
103,103,Jul 30,,MIA,W5-3,32,28,5,6,2,0,2,5,3,1,3,0,0,1,0,0,0,0,.258,.325,.420,.745,3,14,L,W.Chen (35)
104,104,Jul 31,,MIA,W11-6,44,39,11,19,3,0,3,11,3,0,5,0,2,0,1,3,0,0,.261,.327,.424,.751,9,11,R,D.Straily (16)
105,105,Aug 2,@,NYM,W4-2,36,33,4,6,2,1,0,4,3,0,11,0,0,0,0,0,3,0,.260,.327,.423,.749,5,13,L,J.Vargas (43)
106,106,Aug 3,@,NYM,W2-1,33,32,2,6,2,0,1,2,1,0,9,0,0,0,0,0,0,0,.259,.326,.422,.748,4,14,R,J.deGrom (70)
107,107,Aug 4,@,NYM,L0-3,32,31,0,5,1,0,0,0,1,0,10,0,0,0,0,1,0,0,.258,.325,.420,.745,5,13,R,Z.Wheeler (79)
108,108,Aug 5,@,NYM,W5-4,42,40,5,12,0,0,3,5,0,0,8,0,2,0,0,0,0,0,.259,.324,.421,.745,7,16,R,C.Oswalt (48)
109,109,Aug 7 (1),@,WSN,L3-8,36,34,3,7,1,0,1,3,2,0,8,0,0,0,1,1,0,0,.258,.324,.420,.744,6,17,R,J.Rodriguez (59)
110,110,Aug 7 (2),@,WSN,W3-1,36,34,3,7,0,1,1,3,2,1,10,0,0,0,0,0,0,0,.258,.323,.420,.743,6,14,R,M.Scherzer (70)
111,111,Aug 8,@,WSN,W8-3,39,37,8,12,1,0,3,8,0,0,6,0,2,0,0,0,1,0,.259,.323,.421,.744,4,14,L,T.Milone (28)
112,112,Aug 9,@,WSN,L3-6,36,34,3,10,2,0,2,3,1,0,4,0,0,1,0,0,0,0,.259,.323,.422,.745,6,13,L,G.Gonzalez (63)
113,113,Aug 10,,MIL,W10-1,45,36,10,13,6,0,0,10,8,1,7,0,0,1,0,0,1,0,.260,.324,.423,.748,11,12,R,F.Peralta (15)
114,114,Aug 11,,MIL,L2-4,33,31,2,7,1,0,1,2,1,0,3,0,1,0,0,2,0,0,.259,.324,.423,.747,4,15,L,W.Miley (51)
115,115,Aug 12,,MIL,W8-7,36,32,8,9,3,1,3,8,2,0,6,1,1,0,1,0,0,1,.260,.324,.425,.749,4,16,R,C.Anderson (38)
116,116,Aug 13 (1),,MIA,W9-1,39,33,9,11,5,0,1,8,4,1,7,1,0,1,1,1,1,0,.260,.325,.426,.751,6,12,R,P.Lopez (37)
117,117,Aug 13 (2),,MIA,W6-1,37,36,6,13,1,0,2,6,1,1,5,0,0,0,0,1,0,0,.261,.325,.427,.753,7,11,R,M.Gonzalez (39)
118,118,Aug 14,,MIA,W10-6,41,39,10,15,1,1,4,10,2,0,4,0,0,0,0,0,0,0,.262,.326,.431,.757,7,14,R,T.Richards (24)
119,119,Aug 15,,MIA,W5-2,35,31,5,8,2,0,1,5,1,0,5,2,0,1,0,0,2,0,.262,.326,.431,.757,6,14,R,J.Urena (50)
120,120,Aug 16,,COL,L3-5,33,31,3,6,2,0,1,3,1,0,11,1,0,0,0,2,2,0,.262,.325,.430,.755,3,13,R,J.Gray (63)
121,121,Aug 17,,COL,L5-11,42,34,5,9,1,0,0,5,7,0,12,0,0,1,0,1,0,0,.262,.326,.429,.755,10,13,L,K.Freeland (67)
122,122,Aug 18,,COL,L3-5,38,34,3,9,1,0,0,3,3,0,4,0,1,0,0,1,1,2,.262,.326,.428,.754,5,15,R,A.Senzatela (48)
123,123,Aug 19,,COL,L2-4,35,33,2,6,1,0,0,2,1,0,9,1,0,0,0,0,0,0,.261,.325,.426,.751,6,13,R,G.Marquez (63)
124,124,Aug 20,@,PIT,W1-0,37,33,1,10,4,0,0,1,2,0,5,2,0,0,0,2,0,2,.262,.326,.426,.752,9,16,R,C.Archer (50)
125,125,Aug 21,@,PIT,W6-1,39,35,6,8,1,0,2,5,3,0,6,1,0,0,0,0,0,0,.261,.325,.426,.752,6,12,R,I.Nova (60)
126,126,Aug 22,@,PIT,W2-1,35,29,2,3,0,0,1,2,5,1,8,0,0,1,0,0,1,0,.260,.325,.425,.749,6,12,R,T.Williams (66)
127,127,Aug 23,@,MIA,W5-0,42,37,5,12,2,0,3,5,4,0,6,1,0,0,0,2,0,0,.261,.325,.426,.752,10,12,R,E.Hernandez (41)
128,128,Aug 24,@,MIA,L0-1,31,29,0,3,2,0,0,0,2,0,6,0,0,0,0,1,0,0,.260,.324,.425,.749,4,14,R,D.Straily (69)
129,129,Aug 25,@,MIA,L1-3,38,36,1,9,1,0,1,1,2,0,13,0,0,0,1,0,0,0,.260,.324,.424,.748,10,13,L,W.Chen (68)
130,130,Aug 26,@,MIA,W4-0,43,34,4,9,2,0,0,2,6,2,7,1,1,1,1,1,1,0,.260,.325,.423,.748,12,16,R,P.Lopez (52)
131,131,Aug 28,,TBR,W9-5,39,32,9,12,2,0,2,7,4,0,5,0,2,1,1,1,0,1,.261,.325,.425,.750,6,17,R,R.Stanek (52)
132,132,Aug 29,,TBR,L5-8,41,37,5,11,0,0,1,5,4,0,7,0,0,0,0,0,0,0,.261,.326,.424,.750,9,15,R,D.Castillo (40)
133,133,Aug 30,,CHC,L4-5,37,34,4,9,1,1,0,4,1,1,9,1,0,1,0,0,0,1,.261,.325,.424,.749,6,13,L,M.Montgomery (36)
134,134,Aug 31,,PIT,L2-3,35,33,2,7,1,0,2,2,1,0,10,1,0,0,0,0,0,1,.260,.325,.424,.749,6,15,R,J.Taillon (65)
135,135,Sep 1,,PIT,W5-3,33,31,5,6,3,0,1,4,1,0,10,0,0,1,1,0,1,0,.260,.324,.424,.748,4,17,R,C.Archer (68)
