Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
130,130,Aug 26,@,KCR,W12-5,9.0,9,5,5,0,1,10,3,0,3.86,37,150,103,0,0,0,0,36,3,0,0,0,0,1,1,5,Gary Cederstrom,S.Bieber (4-47-W) O.Perez (0-H) A.Cimber (2) A.Miller (1) C.Allen (1)
131,131,Aug 28,,MIN,W8-1,9.0,7,1,1,0,3,12,1,0,3.84,37,134,88,0,0,0,0,34,1,0,0,0,0,0,0,3,Jerry Meals,C.Carrasco (5-80-W) B.Hand (3) D.Otero (2)
132,132,Aug 29,,MIN,L3-4,9.0,9,4,4,0,5,9,1,2,3.84,42,166,104,1,0,0,0,35,4,0,0,0,0,0,0,5,Ed Hickox,A.Plutko (5-53) O.Perez (2-H) C.Allen (2-BL) T.Olson (13) A.Cimber (2)
133,133,Aug 30,,MIN,W5-3,9.0,5,3,1,2,3,14,2,0,3.82,35,156,94,1,0,0,0,32,0,0,0,0,0,1,0,4,Gabe Morales,M.Clevinger (5-70-W) O.Perez (0-H) C.Allen (0-H) B.Hand (1-Sv)
134,134,Aug 31,,TBR,W3-0,9.0,2,0,0,0,2,11,0,0,3.79,30,128,85,0,0,0,0,28,0,0,0,0,0,0,1,3,Alfonso Marquez,C.Kluber (5-79-W) C.Allen (0-H) B.Hand (0-Sv)
135,135,Sep 1,,TBR,L3-5,9.0,13,5,5,0,3,8,1,0,3.80,40,153,100,3,1,0,1,37,6,0,1,0,0,0,0,7,Jim Wolf,S.Bieber (5-38-L) T.Olson (2) A.Cimber (2) O.Perez (1) D.Otero (3) J.Edwards (99) J.Tomlin (6)
136,136,Sep 2,,TBR,L4-6,9.0,13,6,6,0,4,11,2,0,3.82,42,163,107,3,1,0,0,37,5,1,0,1,0,0,1,5,Sam Holbrook,C.Carrasco (4-42-L) N.Ramirez (10) T.Olson (0) A.Cimber (0) J.Tomlin (0)
137,137,Sep 3,,KCR,L1-5,9.0,11,5,5,0,0,12,4,0,3.82,38,159,108,0,0,1,0,38,2,0,0,0,0,0,0,4,Doug Eddings,A.Plutko (4-50-L) D.Otero (1) J.Edwards (1) N.Ramirez (0)
138,138,Sep 4,,KCR,W9-3,9.0,5,3,2,1,2,13,1,2,3.81,36,149,98,1,1,0,0,32,2,0,0,0,0,0,0,5,Joe West,M.Clevinger (4-71-W) O.Perez (2) A.Cimber (1) B.Hand (3) C.Allen (3)
139,139,Sep 5,,KCR,W3-1,9.0,2,1,1,0,1,16,0,0,3.79,30,144,95,1,0,0,0,29,1,1,0,0,0,0,0,4,Marty Foster,C.Kluber (4-75-W) O.Perez (0-H) C.Allen (0-H) B.Hand (0-Sv)
