Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
64,64,Jun 10,,SFG,L0-2,31,27,0,3,0,0,0,0,4,0,7,0,0,0,0,1,1,1,.236,.316,.401,.717,4,14,L,D.Holland (63)
65,65,Jun 12,@,NYY,L0-3,36,31,0,5,0,0,0,0,3,0,9,2,0,0,0,0,0,1,.235,.315,.398,.713,9,11,L,C.Sabathia (61)
66,66,Jun 13,@,NYY,W5-4,34,31,5,10,1,0,2,5,2,0,4,0,0,1,0,0,1,1,.236,.316,.400,.715,2,10,R,S.Gray (36)
67,67,Jun 15,@,TOR,L5-6,38,36,5,10,2,0,0,3,2,0,11,0,0,0,0,1,3,0,.237,.316,.399,.714,6,12,R,A.Sanchez (54)
68,68,Jun 16,@,TOR,L0-2,33,30,0,3,1,0,0,0,3,0,6,0,0,0,0,0,0,0,.235,.314,.395,.709,6,9,R,M.Estrada (70)
69,69,Jun 17,@,TOR,L6-8,41,38,6,13,2,0,0,5,3,0,12,0,0,0,0,0,5,0,.237,.315,.395,.710,8,11,R,S.Gaviglio (44)
70,70,Jun 18,,NYY,L2-4,38,33,2,7,2,0,0,2,3,0,15,1,0,1,0,0,0,0,.237,.315,.394,.708,9,17,R,S.Gray (53)
71,71,Jun 19,,BAL,W9-7,41,35,9,14,3,0,1,9,5,1,4,0,0,1,0,0,0,1,.239,.317,.396,.713,8,16,R,D.Hess (33)
72,72,Jun 20,,BAL,L0-3,36,32,0,5,2,0,0,0,4,0,9,0,0,0,1,1,0,0,.238,.316,.394,.710,9,15,R,A.Cashner (58)
73,73,Jun 21,,BAL,W4-2,33,28,4,8,3,1,1,4,4,0,5,0,0,1,0,1,0,0,.238,.317,.396,.713,5,12,R,K.Gausman (55)
74,74,Jun 22,,PHI,L2-12,36,33,2,8,4,0,0,2,2,0,7,0,0,1,0,1,1,0,.238,.316,.395,.712,7,16,R,Z.Eflin (51)
75,75,Jun 23,,PHI,L3-5,35,32,3,6,1,0,1,3,3,0,7,0,0,0,0,0,1,1,.238,.315,.394,.710,5,14,R,A.Nola (58)
76,76,Jun 24,,PHI,W8-6,43,39,8,17,4,1,1,8,4,1,8,0,0,0,0,2,2,0,.241,.318,.399,.717,11,16,R,N.Pivetta (48)
77,77,Jun 25,@,TBR,L0-11,32,28,0,2,1,0,0,0,4,0,11,0,0,0,0,1,0,0,.239,.317,.395,.712,5,11,L,B.Snell (81)
78,78,Jun 26,@,TBR,L0-1,34,29,0,3,1,0,0,0,4,0,12,1,0,0,0,0,0,1,.238,.316,.393,.708,7,11,R,N.Eovaldi (77)
79,79,Jun 28,@,PHI,L3-4,36,33,3,7,2,0,0,2,2,0,10,0,1,0,0,0,0,0,.237,.315,.391,.706,6,15,R,A.Nola (71)
80,80,Jun 29,@,PHI,W17-7,52,44,17,18,3,0,7,17,7,0,12,0,0,1,0,0,1,0,.240,.318,.400,.718,8,15,R,N.Pivetta (13)
81,81,Jun 30,@,PHI,L2-3,37,33,2,8,2,0,1,2,3,0,9,1,0,0,0,1,0,1,.240,.318,.400,.718,8,16,R,V.Velasquez (48)
82,82,Jul 1,@,PHI,L3-4,51,42,3,8,1,0,0,3,8,1,9,0,0,1,0,3,0,1,.239,.318,.397,.715,9,20,R,J.Arrieta (49)
83,83,Jul 2,,BOS,L3-4,40,35,3,9,0,0,3,3,5,0,9,0,0,0,0,0,0,0,.240,.318,.399,.717,10,16,R,R.Porcello (53)
84,84,Jul 3,,BOS,L4-11,40,38,4,12,1,0,2,4,2,0,7,0,0,0,0,0,0,1,.241,.319,.400,.719,9,13,L,B.Johnson (40)
85,85,Jul 4,,BOS,L0-3,34,33,0,6,0,0,0,0,1,0,11,0,0,0,0,0,0,0,.240,.317,.398,.715,7,18,L,E.Rodriguez (71)
86,86,Jul 5,,MIA,W14-12,42,33,14,12,2,0,2,14,8,0,5,0,0,1,0,2,0,0,.241,.319,.400,.720,4,20,R,P.Lopez (38)
