Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
54,54,May 28,,MIN,L5-8,9.0,12,8,8,0,5,10,1,1,5.33,45,149,96,0,0,1,0,39,3,1,0,0,0,0,0,3,Tom Hallion,J.Junis (4-51-L) B.Smith (8) B.Boyer (2)
55,55,May 29,,MIN,W2-1,14.0,7,1,1,0,8,11,0,1,5.19,56,218,131,0,0,0,0,46,0,0,0,1,0,0,0,6,Adam Hamari,D.Duffy (4-60) K.McCarthy (1) B.Flynn (3) K.Herrera (1) J.Adam (1) S.Barlow (25-W)
56,56,May 30,,MIN,W11-8,9.0,11,8,8,0,5,9,2,0,5.24,42,169,101,2,1,0,0,37,4,0,0,0,0,0,1,7,Brian Knight,B.Keller (3-51) T.Oaks (31) B.Smith (1) B.Flynn (0-H) K.McCarthy (0-W) T.Hill (2-H) K.Herrera (0-Sv)
57,57,Jun 1,,OAK,L0-16,9.0,16,16,16,0,5,11,4,0,5.43,47,201,133,3,3,0,0,41,1,1,0,0,1,0,1,4,Eric Cooper,I.Kennedy (5-14-L) S.Barlow (2) B.Flynn (1) J.Adam (2)
58,58,Jun 2,,OAK,W5-4,9.0,9,4,4,0,3,4,1,1,5.41,39,151,90,0,0,0,0,35,2,0,0,0,0,0,0,4,Gary Cederstrom,J.Hammel (5-47) K.McCarthy (2-H) T.Hill (2-BW) K.Herrera (2-Sv)
59,59,Jun 3,,OAK,L1-5,9.0,8,5,5,0,3,10,1,1,5.40,38,135,85,1,1,1,1,34,1,0,0,0,0,1,1,3,Cory Blaser,J.Junis (5-62-L) B.Smith (3) J.Adam (1)
60,60,Jun 4,@,LAA,L6-9,8.0,14,9,9,0,6,3,2,0,5.47,41,175,104,2,1,0,0,34,0,0,1,0,1,0,0,5,Gabe Morales,D.Duffy (5-34) K.McCarthy (1-BSv) J.Adam (0) T.Hill (1-L) B.Smith (0)
61,61,Jun 5,@,LAA,L0-1,8.0,7,1,1,0,1,6,0,0,5.41,30,119,78,2,1,0,1,29,0,0,0,0,0,0,1,3,Ed Hickox,B.Keller (5-51-L) K.McCarthy (0) T.Oaks (5)
62,62,Jun 6,@,LAA,L3-4,8.0,10,4,4,0,4,8,2,0,5.39,38,142,84,0,0,0,0,34,4,0,0,0,0,0,0,2,Jerry Meals,I.Kennedy (4-51) S.Barlow (4-L)
63,63,Jun 7,@,OAK,L1-4,8.0,9,4,4,0,1,8,1,0,5.38,33,117,85,0,0,0,0,32,1,0,0,0,0,0,1,3,Lance Barrett,J.Hammel (4-45-L) T.Hill (2) K.Herrera (4)
64,64,Jun 8,@,OAK,L2-7,8.0,11,7,6,1,1,7,3,0,5.40,36,138,90,2,1,0,0,35,1,1,0,0,0,0,1,3,Sean Barber,J.Junis (4-28-L) B.Flynn (6) J.Adam (3)
65,65,Jun 9,@,OAK,W2-0,9.0,4,0,0,0,3,13,0,0,5.32,34,126,83,0,0,0,0,31,0,0,0,0,0,0,0,3,Tony Randazzo,D.Duffy (4-78-W) K.McCarthy (3-H) K.Herrera (1-Sv)
