Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
118,118,Aug 11(1),@,BAL,W5-0,9.0,5,0,0,0,0,14,0,0,3.51,32,132,93,0,0,0,0,32,1,0,0,0,0,0,0,4,Tripp Gibson,D.Price (5-72-W) T.Thornburg (1) R.Brasier (0) M.Barnes (0)
119,119,Aug 11(2),@,BAL,W6-4,9.0,7,4,4,0,8,4,2,1,3.52,41,174,93,1,1,1,2,32,1,0,0,0,0,0,0,7,Hunter Wendelstedt,H.Velazquez (1-45) B.Workman (0) D.Pomeranz (0) H.Hembree (0-BSv) J.Kelly (0-W) W.Cuevas (38-H) C.Kimbrel (3-Sv)
120,120,Aug 12,@,BAL,W4-1,9.0,5,1,1,0,5,18,0,0,3.50,37,162,99,3,0,0,0,31,0,0,0,0,1,0,0,6,Adrian Johnson,C.Sale (15-77-W) T.Thornburg (0-H) R.Brasier (0-H) B.Johnson (3-H) M.Barnes (0-H) C.Kimbrel (0-Sv)
121,121,Aug 14,@,PHI,W2-1,9.0,2,1,1,0,1,13,1,0,3.48,30,126,83,0,0,1,0,29,0,0,0,0,0,0,0,3,Will Little,R.Porcello (4-79-W) H.Hembree (2-H) C.Kimbrel (1-Sv)
122,122,Aug 15,@,PHI,L4-7,8.0,12,7,5,2,2,8,0,0,3.49,39,146,102,0,0,0,0,36,2,1,0,0,1,1,0,4,Kerwin Danley,N.Eovaldi (4-50) J.Kelly (3-L) D.Pomeranz (3) H.Velazquez (3)
123,123,Aug 17,,TBR,W7-3,9.0,7,3,3,0,2,7,0,1,3.49,35,142,83,1,0,0,1,32,3,0,0,0,0,0,1,5,Chad Whitson,B.Johnson (4-47-W) H.Hembree (2-H) R.Brasier (4-H) M.Barnes (4) T.Thornburg (4)
124,124,Aug 18,,TBR,W5-2,9.0,5,2,2,0,2,10,1,1,3.48,35,123,85,0,0,0,0,32,1,0,0,0,0,1,0,3,Mark Wegner,D.Price (6-65-W) R.Brasier (0-H) C.Kimbrel (3-Sv)
125,125,Aug 19,,TBR,L0-2,9.0,4,2,2,0,5,7,2,1,3.46,36,139,85,0,0,1,0,30,0,0,0,0,0,0,1,5,John Tumpane,H.Velazquez (3-51-L) B.Workman (7) J.Kelly (3) H.Hembree (1) M.Barnes (1)
126,126,Aug 20,,CLE,L4-5,9.0,7,5,5,0,1,8,3,0,3.48,35,132,91,0,0,0,0,34,0,0,0,0,0,0,0,3,Pat Hoberg,R.Porcello (5-50-L) T.Thornburg (2) D.Pomeranz (4)
127,127,Aug 21,,CLE,L3-6,9.0,13,6,6,0,3,5,2,1,3.50,42,161,113,2,1,1,0,37,3,0,0,0,1,0,1,5,Brian Knight,N.Eovaldi (5-33-L) J.Kelly (1) B.Workman (1) T.Thornburg (0) D.Pomeranz (0)
