Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
87,87,Jul 3,@,OAK,L2-6,8.0,8,6,6,0,5,2,2,0,4.15,32,108,64,0,0,0,0,27,1,0,0,0,0,0,5,3,Tim Timmons,C.Richard (5-37-L) A.Cimber (1) C.Brewer (81)
88,88,Jul 4,@,OAK,L2-4,8.0,6,4,4,0,6,5,0,1,4.15,35,132,76,3,1,0,0,28,4,0,1,0,0,0,1,4,Rob Drake,L.Perdomo (76-52) A.Cimber (0) J.Castillo (2-L) C.Stammen (2)
89,89,Jul 5,@,ARI,W6-3,9.0,11,3,3,0,2,8,1,1,4.14,39,152,106,2,0,0,0,36,2,0,0,0,0,0,1,4,Jeff Nelson,E.Lauer (5-49-W) M.Strahm (4-H) K.Makita (5-H) B.Hand (4-Sv)
90,90,Jul 6,@,ARI,L1-3,8.0,6,3,3,0,3,7,0,2,4.13,35,135,87,6,1,1,0,30,2,0,0,0,0,0,0,4,Laz Diaz,J.Lucchesi (5-58-L) A.Cimber (1) C.Stammen (1) R.Erlin (4)
91,91,Jul 7,@,ARI,L5-20,8.0,18,20,18,2,7,10,5,1,4.29,50,201,119,3,2,0,0,41,4,0,0,0,1,1,1,5,Manny Gonzalez,T.Ross (5-10-L) K.Makita (1) P.Hughes (16) K.Yates (6) R.Erlin (0)
92,92,Jul 8,@,ARI,W4-3,16.0,11,3,3,0,4,18,0,2,4.24,63,241,161,0,0,1,0,57,4,0,0,0,0,0,3,9,Jansen Visconti,C.Richard (4-43) A.Cimber (1) C.Stammen (1) K.Yates (0) M.Strahm (2) M.Diaz (99) P.Hughes (0) R.Erlin (0) B.Hand (2-W)
93,93,Jul 9,,LAD,L2-8,9.0,14,8,8,0,4,2,0,0,4.28,43,149,93,0,0,1,0,38,5,0,1,0,1,1,2,2,Greg Gibson,L.Perdomo (4-30-L) W.Lockett (37)
94,94,Jul 10,,LAD,W4-1,9.0,4,1,1,0,2,9,1,0,4.25,32,121,76,0,0,0,0,30,1,0,0,0,0,0,0,2,Vic Carapazza,E.Lauer (4-78-W) K.Yates (1)
95,95,Jul 11,,LAD,L2-4,9.0,10,4,3,1,5,5,0,0,4.24,42,158,100,2,0,0,0,37,3,0,2,0,0,2,2,5,Ben May,J.Lucchesi (4-43-L) P.Maton (17) A.Cimber (2) C.Stammen (2) P.Hughes (2)
96,96,Jul 12,,LAD,L2-3,9.0,5,3,3,0,4,9,0,2,4.22,36,144,89,3,1,0,1,30,2,0,0,0,0,0,0,4,Jordan Baker,T.Ross (4-61-L) C.Stammen (0) M.Strahm (3) A.Cimber (0)
97,97,Jul 13,,CHC,L4-5,10.0,9,5,3,2,5,7,0,1,4.20,42,160,101,0,0,1,1,35,4,0,0,1,0,0,2,5,Jim Wolf,C.Richard (4-49) P.Maton (1) K.Yates (2) B.Hand (4-BSv) A.Cimber (0-L)
98,98,Jul 14,,CHC,L6-11,9.0,13,11,11,0,3,10,3,0,4.27,43,163,99,1,0,1,0,40,3,0,1,0,0,0,0,4,D.J. Reyburn,L.Perdomo (4-33-L) R.Erlin (5) P.Maton (0) P.Hughes (2)
