Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
25,25,Apr 27,,LAD,W6-4,9.0,8,4,4,0,7,7,0,0,3.66,41,183,111,1,0,2,1,33,3,0,0,1,0,0,0,6,Adrian Johnson,D.Holland (5-35) P.Johnson (1) C.Gearrin (1) S.Dyson (2-W) T.Watson (3-H) H.Strickland (2-Sv)
26,26,Apr 28(1),,LAD,L6-15,9.0,20,15,14,1,6,8,1,3,4.06,55,215,136,4,0,1,0,46,6,2,0,0,0,0,0,5,Tripp Gibson,C.Stratton (4-17-L) R.Gomez (2) D.Law (12) C.Gearrin (0) P.Sandoval (99)
27,27,Apr 28(2),,LAD,W8-3,9.0,5,3,3,0,5,6,1,0,4.02,36,161,92,5,1,0,0,30,1,0,0,1,0,0,1,5,Brian Gorman,J.Cueto (5-59-W) R.Moronta (3) S.Dyson (0-H) D.Snelten (99) H.Strickland (0)
28,28,Apr 29,,LAD,W4-2,9.0,8,2,2,0,1,6,0,0,3.94,34,132,84,1,1,1,0,33,2,0,0,0,0,0,1,4,Dan Iassogna,T.Blach (4-55-W) S.Dyson (0-H) T.Watson (1-H) H.Strickland (0-Sv)
29,29,Apr 30,,SDP,W6-5,9.0,10,5,3,2,5,6,0,0,3.91,42,166,98,3,0,2,0,36,2,0,0,0,1,1,1,5,Larry Vanover,J.Samardzija (4-51) R.Moronta (1-BSv) C.Gearrin (1) D.Snelten (1) P.Johnson (2-W)
30,30,May 1,,SDP,L2-3,9.0,5,3,3,0,1,6,2,0,3.88,30,105,69,0,0,0,0,29,0,1,0,0,0,0,3,3,Hunter Wendelstedt,A.Suarez (19-65) T.Watson (1) H.Strickland (1-L)
31,31,May 2,,SDP,W9-4,9.0,8,4,4,0,4,9,1,0,3.88,39,169,102,2,0,0,0,34,1,0,0,1,0,1,0,6,Chris Guccione,D.Holland (4-50-W) P.Johnson (1) W.Smith (99) C.Gearrin (1) D.Snelten (1) S.Dyson (2)
32,32,May 4,@,ATL,W9-4,9.0,8,4,3,1,3,8,2,0,3.86,36,138,87,0,0,0,0,32,1,0,0,0,1,0,2,4,Jerry Layne,C.Stratton (5-52-W) W.Smith (1) T.Watson (2) S.Dyson (1)
33,33,May 5,@,ATL,W11-2,9.0,7,2,1,1,2,2,0,0,3.77,36,118,77,4,0,0,0,34,2,0,0,0,0,2,1,4,Greg Gibson,T.Blach (5-61-W) C.Gearrin (2) R.Moronta (4) P.Johnson (2)
34,34,May 6,@,ATL,W4-3,9.0,9,3,2,1,2,7,0,0,3.72,37,140,86,1,0,0,0,35,1,0,0,0,0,2,3,5,Vic Carapazza,A.Suarez (4-57-W) C.Gearrin (0-H) S.Dyson (1-H) T.Watson (1-H) H.Strickland (4-Sv)
35,35,May 7,@,PHI,L0-11,8.0,12,11,10,1,4,6,4,0,3.91,42,175,116,0,0,2,0,38,1,0,0,0,0,2,0,4,Brian Knight,J.Samardzija (6-34-L) D.Snelten (4) R.Moronta (1) P.Johnson (1)
36,36,May 8,@,PHI,L2-4,8.0,8,4,4,0,3,6,3,1,3.93,34,125,74,0,0,1,0,30,1,0,0,0,0,0,2,3,Gerry Davis,D.Holland (5-44-L) C.Gearrin (1) W.Smith (3)
37,37,May 9,@,PHI,L3-11,8.0,10,11,11,0,7,9,1,0,4.13,41,170,94,5,3,0,1,33,2,0,0,0,1,1,0,3,Pat Hoberg,C.Stratton (4-37-L) P.Johnson (1) D.Law (10)
38,38,May 10,@,PHI,L3-6,8.0,11,6,6,0,3,9,1,0,4.19,37,151,97,2,1,0,0,34,1,1,0,0,0,0,1,5,Mark Carlson,T.Blach (4-31-L) W.Smith (1) R.Moronta (2) S.Dyson (3) H.Strickland (3)
39,39,May 11,@,PIT,L2-11,8.0,15,11,11,0,3,9,4,0,4.38,40,172,106,0,0,0,1,36,3,1,0,1,0,0,0,6,Chris Segal,A.Suarez (4-31-L) P.Johnson (1) C.Gearrin (2) J.Valdez (99) T.Watson (4) R.Moronta (0)
40,40,May 12,@,PIT,L5-6,8.0,8,6,6,0,4,9,2,2,4.44,37,140,87,1,0,2,1,29,1,0,1,1,1,0,0,3,Tom Hallion,J.Samardzija (4-40) S.Dyson (1) T.Watson (0-L)
41,41,May 13,@,PIT,W5-0,9.0,7,0,0,0,5,11,0,0,4.33,38,150,95,0,0,0,0,33,4,0,1,0,0,0,1,4,Phil Cuzzi,D.Holland (4-67-W) R.Moronta (1) W.Smith (2) H.Strickland (2)
42,42,May 14,,CIN,W10-7,9.0,13,7,7,0,2,5,3,1,4.39,40,135,91,1,0,0,1,37,3,0,0,0,0,0,2,4,Mark Ripperger,C.Stratton (4-32-W) P.Johnson (2-H) C.Gearrin (2) J.Valdez (2)
43,43,May 15,,CIN,W5-3,9.0,7,3,1,2,1,9,1,1,4.31,35,126,84,0,0,0,1,32,2,0,0,1,0,1,1,6,Joe West,T.Blach (4-44) P.Johnson (0-W) W.Smith (1-H) S.Dyson (2-H) T.Watson (2-H) H.Strickland (1-Sv)
44,44,May 16,,CIN,L3-6,9.0,9,6,5,1,1,7,2,0,4.33,37,125,89,0,0,0,0,35,1,0,0,1,0,0,0,3,Doug Eddings,A.Suarez (4-42-L) C.Gearrin (1) J.Valdez (1)
45,45,May 17,,COL,L3-5,12.0,9,5,5,0,6,8,0,0,4.31,50,190,115,3,2,0,0,44,1,0,0,0,0,1,2,7,Chris Segal,J.Samardzija (4-52) W.Smith (1) S.Dyson (1) H.Strickland (1) T.Watson (1) P.Johnson (1-L) C.Gearrin (0)
46,46,May 18,,COL,L1-6,9.0,10,6,6,0,3,5,2,0,4.35,40,174,113,0,0,1,0,37,3,0,0,0,0,0,0,3,Brian O'Nora,D.Holland (4-46-L) R.Moronta (4) J.Valdez (1)
47,47,May 19,,COL,W9-4,9.0,9,4,3,1,3,6,0,0,4.32,37,133,91,0,0,1,0,34,1,0,0,0,0,1,2,5,CB Bucknor,C.Stratton (4-36-W) W.Smith (1-H) P.Johnson (1) S.Dyson (1) T.Watson (1)
48,48,May 20,,COL,W9-5,9.0,13,5,5,0,4,10,0,0,4.33,41,171,108,3,2,2,0,37,2,0,0,0,0,0,1,6,Chris Conroy,T.Blach (4-30) C.Gearrin (2) W.Smith (0) S.Dyson (0-BW) T.Watson (0) H.Strickland (2)
49,49,May 22,@,HOU,L2-11,8.0,13,11,11,0,6,6,0,0,4.48,41,156,87,3,2,1,0,33,4,0,0,1,1,0,1,4,Tim Timmons,A.Suarez (5-28-L) P.Johnson (2) R.Moronta (3) J.Osich (26)
50,50,May 23,@,HOU,L1-4,8.0,5,4,3,1,5,2,1,0,4.46,34,140,78,1,0,2,2,29,0,0,0,0,0,2,0,4,Rob Drake,J.Samardzija (5-39-L) W.Smith (2) S.Dyson (2) C.Gearrin (2)
51,51,May 25,@,CHC,L2-6,8.0,8,6,5,1,5,7,0,1,4.48,36,135,80,4,4,2,0,29,1,0,0,1,0,0,1,4,Cory Blaser,D.Holland (6-56-L) W.Smith (1) C.Gearrin (1) H.Strickland (4)
52,52,May 26,@,CHC,W5-4,9.0,7,4,4,0,3,7,2,0,4.47,35,136,82,0,0,0,0,32,2,0,0,0,0,0,2,5,Stu Scheurwater,C.Stratton (6-50-W) R.Moronta (3-H) S.Dyson (2-H) T.Watson (5-H) H.Strickland (0-Sv)
53,53,May 27,@,CHC,L3-8,8.0,13,8,8,0,6,8,1,0,4.55,42,172,105,2,2,0,0,36,3,2,0,0,0,0,1,4,Eric Cooper,T.Blach (6-24-L) P.Johnson (4) R.Moronta (0) C.Gearrin (1)
54,54,May 28,@,COL,L5-6,9.1,11,6,5,1,3,10,1,1,4.55,43,164,107,2,0,2,1,37,0,0,1,1,1,2,0,6,Quinn Wolcott,A.Suarez (5-49) R.Moronta (0-H) W.Smith (2-H) S.Dyson (1-H) T.Watson (1-BSv) H.Strickland (1-L)
55,55,May 29,@,COL,L4-11,8.0,15,11,8,3,1,7,1,0,4.63,43,152,102,1,1,1,0,41,8,1,0,0,1,3,0,5,Jeff Kellogg,J.Samardzija (5-40-L) D.Rodriguez (99) W.Smith (0) C.Gearrin (1) T.Blach (1)
56,56,May 30,@,COL,W7-4,9.0,11,4,4,0,2,4,1,0,4.62,39,131,83,0,0,0,1,36,2,0,0,1,0,0,1,5,Marvin Hudson,D.Holland (4-33-W) R.Moronta (1-H) T.Watson (1-H) S.Dyson (1-H) H.Strickland (1-Sv)
57,57,Jun 1,,PHI,W4-0,9.0,6,0,0,0,1,13,0,0,4.53,33,136,92,0,0,0,0,31,1,0,0,1,0,0,1,4,Ed Hickox,C.Stratton (5-70-W) T.Watson (1-H) S.Dyson (1) H.Strickland (1)
58,58,Jun 2,,PHI,W2-0,9.0,3,0,0,0,0,5,0,0,4.45,30,103,74,0,0,0,0,30,0,1,0,0,0,0,0,3,Jerry Meals,A.Suarez (4-76-W) T.Watson (0-H) H.Strickland (0-Sv)
59,59,Jun 3,,PHI,W6-1,9.0,6,1,1,0,3,11,1,0,4.39,36,125,83,0,0,0,0,33,0,0,0,0,0,1,1,4,Chris Segal,D.Rodriguez (4-62-W) M.Melancon (99) W.Smith (4) R.Moronta (3)
60,60,Jun 4,,ARI,W10-3,9.0,7,3,3,0,3,11,0,0,4.37,36,164,100,0,0,0,0,33,2,0,0,0,0,0,1,5,Lance Barrett,D.Holland (4-50) R.Moronta (0) P.Johnson (7-W) C.Gearrin (5) T.Blach (5)
61,61,Jun 5,,ARI,L2-3,9.0,9,3,2,1,1,7,0,0,4.33,38,127,87,0,0,0,0,36,3,0,0,1,0,1,1,4,Tony Randazzo,M.Bumgarner (99-51-L) M.Melancon (1) S.Dyson (3) H.Strickland (2)
62,62,Jun 6,,ARI,W5-4,10.0,10,4,4,0,6,13,0,0,4.32,44,176,110,2,0,2,0,38,4,0,2,0,0,0,0,6,Bill Welke,C.Stratton (4-37) W.Smith (2) R.Moronta (1) T.Watson (3) T.Blach (1) H.Strickland (0-W)
63,63,Jun 8,@,WSN,W9-5,9.0,9,5,5,0,1,8,1,1,4.33,38,142,91,2,0,1,0,36,1,0,0,0,0,0,0,6,Kerwin Danley,A.Suarez (5-39) R.Moronta (1-W) M.Melancon (2-H) T.Watson (1) S.Dyson (2) W.Smith (1)
64,64,Jun 9,@,WSN,L5-7,8.0,10,7,7,0,5,5,1,1,4.38,40,160,92,1,0,0,0,33,2,0,0,1,0,0,0,4,Scott Barry,D.Rodriguez (5-25-L) T.Blach (2) C.Gearrin (4) R.Moronta (0)
65,65,Jun 10,@,WSN,W2-0,9.0,3,0,0,0,4,7,0,0,4.31,31,142,94,0,0,1,1,27,0,0,0,0,0,0,1,5,Carlos Torres,D.Holland (5-63-W) M.Melancon (1-H) S.Dyson (1-H) T.Watson (1-H) H.Strickland (3-Sv)
66,66,Jun 11,@,MIA,L5-7,8.0,8,7,7,0,2,5,2,0,4.36,34,134,75,3,1,1,0,31,3,1,0,0,1,1,0,4,Jeremie Rehak,M.Bumgarner (5-42) R.Moronta (1) S.Dyson (0-BL) C.Gearrin (1)
67,67,Jun 12,@,MIA,L1-3,8.0,6,3,3,0,3,6,0,1,4.35,33,127,88,2,0,0,0,28,1,0,1,1,0,0,0,3,Mark Wegner,C.Stratton (5-57-L) C.Gearrin (0) W.Smith (3)
68,68,Jun 13,@,MIA,L4-5,8.2,10,5,4,1,5,9,0,0,4.34,38,144,88,3,2,0,0,32,1,0,0,0,1,0,2,7,John Tumpane,A.Suarez (4-50) M.Melancon (2-BSv) T.Watson (2-H) S.Dyson (1-H) W.Smith (0-BSv) R.Moronta (1-L) H.Strickland (2)
69,69,Jun 14,@,MIA,W6-3,16.0,15,3,2,1,2,8,1,0,4.26,62,218,148,3,0,0,1,58,3,0,1,1,1,1,3,5,Mike DiMuro,D.Rodriguez (4-56) T.Watson (0-H) H.Strickland (0-BSv) T.Blach (4-W) S.Dyson (0-Sv)
70,70,Jun 15,@,LAD,L2-3,8.0,6,3,2,1,3,9,2,0,4.23,34,153,88,0,0,0,0,30,2,0,0,1,0,1,0,3,Phil Cuzzi,D.Holland (4-52-L) P.Johnson (10) W.Smith (1)
71,71,Jun 16,@,LAD,L1-3,8.0,6,3,3,0,4,6,2,0,4.22,33,134,80,0,0,0,0,28,1,0,1,1,0,0,1,2,Dan Bellino,M.Bumgarner (4-49-L) R.Moronta (2)
72,72,Jun 17,@,LAD,W4-1,9.0,4,1,0,1,1,8,0,0,4.16,31,137,80,1,0,0,0,30,0,0,0,0,0,0,1,5,Adam Hamari,C.Stratton (4-66-W) W.Smith (1-H) M.Melancon (3-H) T.Watson (2-H) H.Strickland (2)
73,73,Jun 18,,MIA,L4-5,9.0,8,5,5,0,3,9,0,0,4.18,36,127,86,3,0,0,0,32,3,0,0,1,0,0,1,4,Manny Gonzalez,A.Suarez (4-61) S.Dyson (3-H) H.Strickland (0-BL) T.Watson (0)
74,74,Jun 19,,MIA,W6-3,9.0,8,3,3,0,2,11,0,2,4.16,38,147,95,1,0,0,0,34,2,1,0,0,0,1,2,5,Andy Fletcher,D.Rodriguez (4-47-W) T.Blach (4-H) M.Melancon (1-H) W.Smith (1-H) S.Dyson (0-Sv)
75,75,Jun 20,,MIA,W6-5,9.0,13,5,5,0,2,9,0,0,4.17,40,157,110,4,2,0,0,36,3,0,0,0,2,1,2,5,Jansen Visconti,D.Holland (4-51-W) T.Watson (1-H) T.Blach (0-H) S.Dyson (0-H) R.Moronta (3-Sv)
76,76,Jun 21,,SDP,W3-0,9.0,4,0,0,0,2,9,0,0,4.12,33,114,81,0,0,0,0,31,2,0,1,0,0,0,0,2,Gerry Davis,M.Bumgarner (4-82-W) M.Melancon (1-Sv)
77,77,Jun 22,,SDP,L2-6,9.0,12,6,5,1,3,5,0,0,4.13,40,149,101,2,2,0,0,36,3,0,1,1,0,0,0,5,Brian Knight,C.Stratton (4-47-L) T.Blach (1) C.Gearrin (9) P.Johnson (6) W.Smith (2)
78,78,Jun 23,,SDP,W5-3,9.0,11,3,2,1,3,6,1,0,4.10,36,125,82,3,0,0,1,33,2,0,0,0,0,0,4,4,Pat Hoberg,A.Suarez (4-52) R.Moronta (2-W) T.Watson (2-H) S.Dyson (2)
79,79,Jun 24,,SDP,W3-2,11.0,6,2,2,0,3,10,1,0,4.06,41,155,103,1,1,0,0,38,0,0,0,0,0,0,1,6,Nic Lentz,D.Rodriguez (4-70) M.Melancon (2) W.Smith (1) S.Dyson (0) R.Moronta (0) T.Blach (1-W)
