Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
72,72,Jun 21,@,CIN,L2-6,8.0,7,6,6,0,4,5,1,1,3.17,34,125,79,3,3,2,0,29,0,0,0,0,0,0,2,4,Jordan Baker,K.Hendricks (4-48-L) R.Rosario (1-BSv) R.Zastryzny (1) J.Hancock (1)
73,73,Jun 22,@,CIN,L3-6,8.0,12,6,6,0,4,4,1,0,3.21,38,130,80,0,0,3,1,34,2,0,0,0,0,0,1,4,Jeremie Rehak,J.Quintana (4-34-L) A.Bass (1) J.Wilson (2) R.Zastryzny (0)
74,74,Jun 23,@,CIN,L2-11,8.0,11,11,11,0,6,10,3,0,3.32,40,161,103,2,1,1,0,34,1,1,1,0,0,0,1,6,Greg Gibson,L.Farrell (5-44-L) B.Duensing (5) R.Zastryzny (0) A.Bass (0) S.Cishek (3) C.Gimenez (99)
75,75,Jun 24,@,CIN,L6-8,8.0,11,8,8,0,6,8,2,0,3.39,40,129,80,5,2,0,0,34,2,0,1,0,0,0,0,3,Jerry Layne,M.Montgomery (4-48) P.Strop (4-BL) R.Rosario (2)
76,76,Jun 25,@,LAD,L1-2,8.0,5,2,2,0,3,4,2,0,3.38,30,118,74,1,0,0,0,27,1,0,0,0,0,0,1,5,Angel Hernandez,D.Underwood (99-54-L) R.Rosario (0) A.Bass (1) J.Wilson (2) J.Hancock (3)
77,77,Jun 26,@,LAD,W9-4,9.0,6,4,4,0,3,11,0,0,3.38,35,159,96,2,2,3,0,32,0,0,0,0,0,0,0,5,Bill Miller,J.Lester (5-54-W) S.Cishek (2) B.Duensing (2) A.Bass (0) J.Wilson (0)
78,78,Jun 27,@,LAD,L5-7,8.0,12,7,7,0,7,6,3,1,3.43,44,181,101,2,0,0,0,36,1,0,1,0,0,1,1,6,Todd Tichenor,K.Hendricks (5-17-L) B.Duensing (0) D.Maples (99) L.Farrell (3) R.Rosario (1) P.Strop (2)
79,79,Jun 28,@,LAD,W11-5,9.0,9,5,5,0,5,5,2,1,3.45,42,141,90,1,0,1,0,35,2,0,0,1,0,0,0,4,Alan Porter,J.Quintana (5-43) S.Cishek (1-W) L.Farrell (0) B.Morrow (11)
80,80,Jun 29,,MIN,W10-6,9.0,10,6,4,2,5,9,1,0,3.46,42,153,88,3,0,0,1,36,2,0,1,1,0,2,1,6,David Rackley,M.Montgomery (4-39-W) R.Rosario (1-H) A.Bass (2-H) P.Strop (1) J.Wilson (2) B.Morrow (0-Sv)
81,81,Jun 30,,MIN,W14-9,9.0,11,9,9,0,5,9,1,0,3.53,43,160,103,2,0,1,0,37,1,0,0,0,1,0,0,5,Hunter Wendelstedt,T.Chatwood (10-28) B.Duensing (2-BSv) J.Wilson (0-W) A.Bass (0) P.Strop (0)
82,82,Jul 1,,MIN,W11-10,9.0,16,10,8,2,4,7,3,1,3.58,48,177,113,1,1,0,0,43,2,1,0,0,0,1,1,4,Chris Guccione,J.Lester (4-39-W) S.Cishek (2) D.Maples (3) B.Morrow (1-Sv)
83,83,Jul 3,,DET,W5-3,9.0,8,3,3,0,1,7,0,0,3.58,35,144,98,0,0,0,0,34,1,0,0,0,0,1,2,5,Mark Wegner,K.Hendricks (5-42) A.Bass (2) J.Wilson (2-W) S.Cishek (1-H) P.Strop (2-Sv)
84,84,Jul 4,,DET,W5-2,9.0,9,2,2,0,4,8,2,0,3.56,38,144,93,0,0,0,1,33,3,0,0,1,0,0,0,4,Jim Reynolds,J.Quintana (5-55-W) A.Bass (0-H) L.Farrell (5-H) B.Morrow (2-Sv)
85,85,Jul 6,,CIN,L2-3,9.0,9,3,3,0,4,7,0,2,3.55,39,152,87,2,0,1,1,32,0,0,0,0,1,0,2,5,Mike Muchlinski,M.Montgomery (6-43-L) R.Rosario (6) C.Edwards (37) L.Farrell (1) J.Wilson (2)
86,86,Jul 7,,CIN,W8-7,9.0,11,7,7,0,4,7,1,0,3.59,41,153,93,1,0,4,0,37,1,0,0,0,0,0,1,3,Adrian Johnson,T.Chatwood (6-23) R.Rosario (0-W) B.Morrow (2-Sv)
87,87,Jul 8,,CIN,W6-5,10.0,8,5,5,0,4,6,2,1,3.60,40,143,89,3,0,4,0,34,1,0,0,1,0,0,2,7,Tripp Gibson,J.Lester (6-44) P.Strop (4) C.Edwards (1-H) J.Wilson (1-H) S.Cishek (4-H) B.Morrow (0-BSv) L.Farrell (1-W)
