Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
118,118,Aug 11 (2),,BOS,L4-6,41,32,4,7,1,0,2,4,8,0,4,1,0,0,0,0,1,2,.238,.299,.400,.699,10,11,R,H.Velazquez (45)
119,119,Aug 12,,BOS,L1-4,37,31,1,5,0,0,0,1,5,0,18,0,0,1,0,0,0,0,.237,.299,.398,.697,9,10,L,C.Sale (77)
120,120,Aug 14,,NYM,W6-3,37,30,6,11,2,0,3,6,5,0,2,0,1,1,0,2,0,0,.238,.300,.400,.700,7,10,L,J.Vargas (52)
121,121,Aug 15,,NYM,L5-16,42,38,5,12,2,0,1,5,3,0,7,1,0,0,0,1,0,0,.239,.301,.401,.702,10,11,R,Z.Wheeler (54)
122,122,Aug 17,@,CLE,L1-2,35,32,1,4,0,0,0,1,3,0,9,0,0,0,1,0,1,0,.238,.300,.399,.699,7,10,R,C.Carrasco (76)
123,123,Aug 18,@,CLE,W4-2,34,32,4,5,1,0,2,4,2,0,9,0,0,0,0,0,1,0,.237,.300,.398,.698,3,11,R,A.Plutko (64)
124,124,Aug 19,@,CLE,L0-8,34,32,0,9,2,0,0,0,1,0,10,1,0,0,0,3,0,0,.238,.300,.398,.698,7,11,R,M.Clevinger (64)
125,125,Aug 20,@,TOR,L3-5,38,34,3,8,2,0,1,3,3,0,7,0,0,1,0,0,2,0,.238,.300,.398,.697,8,9,R,M.Estrada (43)
126,126,Aug 21,@,TOR,L2-8,36,34,2,7,0,0,1,2,2,0,9,0,0,0,0,0,0,0,.237,.299,.397,.696,7,9,R,S.Gaviglio (63)
127,127,Aug 22,@,TOR,L0-6,33,29,0,2,0,0,0,0,3,0,8,1,0,0,1,0,1,0,.236,.298,.395,.693,6,9,L,T.Pannone (76)
128,128,Aug 24,,NYY,L5-7,42,40,5,10,0,0,2,5,2,0,13,0,0,0,1,1,0,0,.236,.298,.395,.693,7,9,L,C.Sabathia (60)
129,129,Aug 25 (1),,NYY,L3-10,38,36,3,8,1,0,0,3,2,0,11,0,0,0,1,0,0,0,.236,.298,.394,.692,8,10,L,J.Happ (62)
130,130,Aug 25 (2),,NYY,L1-5,36,34,1,7,3,0,0,1,2,0,11,0,0,0,0,0,0,0,.236,.298,.393,.691,8,9,R,S.Gray (73)
131,131,Aug 26,,NYY,L3-5,38,34,3,7,0,0,1,3,3,0,12,0,0,1,1,0,4,0,.236,.297,.392,.690,8,9,R,L.Severino (57)
132,132,Aug 27,,TOR,W7-0,37,33,7,11,2,0,1,7,3,1,3,0,1,0,0,1,2,0,.237,.298,.393,.691,6,9,R,S.Gaviglio (39)
133,133,Aug 28,,TOR,W12-5,42,38,12,17,2,1,2,12,1,0,2,2,0,1,0,1,1,0,.238,.300,.395,.695,6,10,L,T.Pannone (13)
134,134,Aug 29,,TOR,W10-5,42,39,10,13,2,0,2,7,1,0,5,1,1,0,4,0,2,1,.239,.300,.397,.697,8,9,L,R.Borucki (30)
135,135,Aug 31,@,KCR,L2-9,33,30,2,4,1,0,1,2,2,0,4,0,0,1,1,1,0,0,.238,.299,.396,.695,4,9,R,B.Keller (68)
136,136,Sep 1,@,KCR,L4-5,38,36,4,13,1,0,2,4,1,0,7,0,0,1,0,2,1,0,.239,.300,.397,.697,7,9,R,H.Fillmyer (56)
137,137,Sep 2,@,KCR,L1-9,31,31,1,6,0,0,1,1,0,0,10,0,0,0,0,1,1,0,.239,.299,.396,.696,3,10,R,J.Lopez (71)
138,138,Sep 3,@,SEA,L1-2,30,30,1,3,0,0,1,1,0,0,12,0,0,0,1,1,0,0,.238,.298,.395,.693,2,9,R,E.Ramirez (65)
139,139,Sep 4,@,SEA,W5-3,42,39,5,15,1,0,1,4,2,0,7,0,1,0,0,1,0,0,.239,.299,.396,.695,10,11,L,W.LeBlanc (63)
140,140,Sep 5,@,SEA,L2-5,39,38,2,8,2,0,0,0,0,0,8,1,0,0,3,0,1,0,.239,.299,.395,.693,10,9,R,M.Leake (58)
141,141,Sep 7,@,TBR,L2-14,32,32,2,6,0,0,1,2,0,0,15,0,0,0,0,1,0,0,.239,.298,.394,.692,3,12,L,B.Snell (59)
142,142,Sep 8,@,TBR,L5-10,38,34,5,11,1,0,1,5,3,0,10,1,0,0,0,2,3,1,.239,.299,.394,.693,6,10,R,D.Castillo (51)
143,143,Sep 9,@,TBR,L3-8,37,33,3,9,2,1,0,3,3,0,10,0,0,1,0,0,0,1,.240,.299,.394,.693,7,10,R,R.Stanek (48)
144,144,Sep 11,,OAK,L2-3,33,32,2,6,0,0,1,2,1,0,11,0,0,0,0,1,2,0,.239,.298,.394,.692,4,11,R,M.Fiers (66)
145,145,Sep 12,,OAK,L0-10,29,28,0,1,0,0,0,0,1,0,5,0,0,0,1,1,0,0,.238,.297,.392,.689,2,14,R,L.Hendriks (51)
146,146,Sep 13,,OAK,W5-3,34,32,5,12,1,0,0,5,2,0,5,0,0,0,0,0,0,1,.239,.298,.392,.689,5,11,L,B.Anderson (31)
147,147,Sep 14,,CHW,L6-8,39,34,6,8,2,0,2,6,4,0,10,0,0,1,1,1,0,0,.239,.298,.392,.690,6,12,R,J.Shields (60)
148,148,Sep 15,,CHW,L0-2,34,31,0,5,0,0,0,0,3,0,6,0,0,0,0,1,0,0,.239,.297,.391,.688,7,10,R,R.Lopez (74)
149,149,Sep 16,,CHW,W8-4,40,33,8,11,2,0,2,7,3,0,4,2,1,1,1,3,2,0,.239,.298,.392,.690,8,11,R,L.Giolito (35)
150,150,Sep 17,,TOR,L0-5,30,29,0,3,0,0,0,0,1,0,10,0,0,0,0,1,2,0,.238,.297,.390,.688,3,9,L,R.Borucki (82)
151,151,Sep 18,,TOR,L4-6,36,30,4,6,0,1,1,2,3,0,5,2,0,1,0,1,2,1,.238,.297,.390,.688,5,10,R,A.Sanchez (40)
152,152,Sep 19,,TOR,W2-1,32,31,2,6,1,0,1,2,1,0,7,0,0,0,1,0,0,0,.238,.297,.390,.687,6,10,R,M.Estrada (64)
153,153,Sep 21,@,NYY,L8-10,43,39,8,13,0,0,3,8,4,0,8,0,0,0,0,1,2,0,.239,.298,.391,.689,8,10,L,C.Sabathia (54)
154,154,Sep 22,@,NYY,L2-3,47,43,2,12,3,0,0,2,4,1,13,0,0,0,1,0,2,1,.239,.298,.391,.689,12,12,R,L.Lynn (49)
155,155,Sep 23,@,NYY,W6-3,40,37,6,12,5,1,3,6,2,0,11,0,0,1,0,0,0,1,.240,.298,.393,.692,7,12,L,J.Happ (58)
156,156,Sep 24,@,BOS,L2-6,34,31,2,7,0,0,0,1,2,0,13,0,0,1,0,1,0,0,.240,.298,.392,.691,5,11,R,N.Eovaldi (65)
157,157,Sep 26 (1),@,BOS,L3-19,37,34,3,8,2,0,2,3,3,0,9,0,0,0,0,0,1,0,.239,.298,.393,.691,7,14,L,D.Price (46)
158,158,Sep 26 (2),@,BOS,W10-3,46,37,10,10,3,1,0,9,5,0,14,3,0,1,1,0,3,0,.240,.299,.393,.692,9,11,L,C.Sale (51)
159,159,Sep 28,,HOU,L1-2,33,32,1,6,2,0,0,1,1,0,7,0,0,0,0,0,0,1,.239,.298,.392,.690,5,11,R,G.Cole (61)
160,160,Sep 29 (1),,HOU,L3-4,34,32,3,7,2,0,1,3,2,0,11,0,0,0,0,1,0,0,.239,.298,.392,.690,4,10,R,J.Verlander (75)
161,161,Sep 29 (2),,HOU,L2-5,35,30,2,6,0,0,0,1,5,0,7,0,0,0,0,2,0,0,.239,.298,.391,.689,6,12,L,D.Keuchel (46)
