Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
68,68,Jun 15,,DET,L3-4,40,36,3,12,1,0,1,3,2,1,6,1,1,0,0,2,0,0,.241,.304,.400,.704,10,11,R,M.Fiers (43)
69,69,Jun 16,,DET,L5-7,36,32,5,7,1,1,0,5,2,0,9,0,0,2,0,0,1,1,.240,.303,.399,.702,4,10,R,J.Zimmermann (49)
70,70,Jun 17,,DET,L1-3,36,35,1,9,1,0,1,1,0,0,8,1,0,0,0,0,0,1,.240,.303,.399,.701,8,9,L,B.Hardy (55)
71,71,Jun 18,@,CLE,L2-6,35,32,2,6,1,0,1,2,2,0,10,1,0,0,1,1,0,1,.240,.302,.397,.699,6,9,R,T.Bauer (77)
72,72,Jun 19,@,CLE,L3-6,39,37,3,8,2,0,0,3,2,0,11,0,0,0,2,0,0,0,.239,.301,.396,.697,9,9,R,M.Clevinger (73)
73,73,Jun 20,@,CLE,L0-12,32,29,0,2,1,0,0,0,3,0,10,0,0,0,1,0,0,1,.237,.300,.392,.692,5,11,R,C.Kluber (81)
74,74,Jun 22 (1),,OAK,L2-11,36,35,2,8,2,0,0,2,0,0,9,1,0,0,1,0,0,0,.237,.299,.391,.689,7,9,L,S.Manaea (70)
75,75,Jun 22 (2),,OAK,W6-4,37,35,6,10,1,0,1,6,2,0,7,0,0,0,1,0,0,0,.238,.299,.391,.690,7,10,R,C.Bassitt (41)
76,76,Jun 23,,OAK,L6-7,40,36,6,8,3,0,1,6,2,0,11,2,0,0,2,1,3,0,.238,.299,.391,.690,7,11,R,D.Mengden (28)
77,77,Jun 24,,OAK,W10-3,36,34,10,12,1,0,3,10,1,0,7,1,0,0,0,0,1,1,.239,.300,.394,.694,2,9,R,P.Blackburn (31)
78,78,Jun 26,,MIN,W8-4,42,37,8,12,0,1,1,8,3,0,14,2,0,0,2,1,0,0,.240,.302,.395,.697,10,9,R,L.Lynn (40)
79,79,Jun 27,,MIN,W6-1,35,34,6,12,1,0,2,6,1,0,9,0,0,0,0,0,0,1,.242,.303,.397,.700,5,10,R,K.Gibson (41)
80,80,Jun 28,,MIN,L1-2,53,47,1,10,1,0,0,1,5,1,16,1,0,0,0,1,4,1,.241,.303,.394,.697,13,13,R,J.Odorizzi (71)
81,81,Jun 29,@,TEX,L3-11,33,32,3,5,1,1,0,3,1,0,8,0,0,0,0,0,0,0,.240,.301,.393,.694,3,9,R,Y.Gallardo (64)
82,82,Jun 30,@,TEX,L4-13,41,37,4,12,3,0,2,4,3,0,6,0,0,1,0,1,0,0,.241,.302,.395,.697,10,11,R,B.Colon (41)
83,83,Jul 1,@,TEX,W10-5,42,39,10,14,5,2,0,10,1,1,8,0,1,1,0,1,0,0,.243,.303,.398,.701,5,10,L,C.Hamels (28)
84,84,Jul 2,@,CIN,L3-5,39,37,3,11,4,0,1,3,0,0,9,0,2,0,1,0,1,0,.244,.303,.399,.702,9,15,R,L.Castillo (64)
