Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
56,56,May 31,@,STL,L8-10,42,37,8,12,2,0,2,8,3,0,8,1,1,0,0,1,0,0,.258,.327,.425,.752,7,15,R,J.Flaherty (44)
57,57,Jun 1,@,STL,W4-0,39,34,4,9,3,2,0,4,2,0,6,1,0,2,1,0,0,0,.258,.326,.426,.752,8,12,R,M.Mikolas (55)
58,58,Jun 2,@,STL,L2-3,32,30,2,5,0,0,2,2,1,0,9,0,1,0,0,1,0,0,.257,.325,.425,.750,3,14,R,L.Weaver (59)
59,59,Jun 3,@,STL,L0-5,31,29,0,2,0,0,0,0,2,0,10,0,0,0,0,0,0,0,.254,.322,.420,.742,4,14,R,M.Wacha (86)
60,60,Jun 5,,LAD,L0-5,34,33,0,7,0,0,0,0,1,0,8,0,0,0,1,0,0,1,.253,.321,.416,.737,7,14,R,R.Stripling (66)
61,61,Jun 6,,LAD,W11-9,45,32,11,10,3,0,0,10,10,1,5,3,0,0,1,1,2,0,.254,.324,.416,.741,10,17,L,C.Ferguson (35)
62,62,Jun 7,,LAD,L7-8,40,34,7,9,1,0,2,7,2,0,8,1,1,2,1,0,1,0,.254,.324,.417,.741,6,15,R,D.Hudson (54)
63,63,Jun 8,@,CHC,L1-3,37,33,1,9,2,0,0,1,2,0,4,1,0,1,0,1,0,1,.255,.324,.416,.740,9,13,L,M.Montgomery (54)
64,64,Jun 9,@,CHC,L0-2,30,28,0,1,0,1,0,0,2,0,8,0,0,0,0,0,0,0,.252,.321,.412,.733,3,13,L,J.Lester (78)
65,65,Jun 10,@,CHC,W7-1,41,35,7,9,1,1,1,7,6,0,8,0,0,0,0,1,1,0,.252,.322,.412,.734,7,13,R,K.Hendricks (59)
66,66,Jun 11,@,ARI,L5-9,39,33,5,9,3,0,0,5,4,1,6,2,0,0,0,2,0,0,.252,.323,.411,.734,7,14,L,P.Corbin (36)
67,67,Jun 12,@,ARI,L8-13,43,36,8,12,6,0,1,8,4,0,7,1,0,1,0,2,0,0,.254,.324,.414,.738,8,14,R,C.Buchholz (26)
68,68,Jun 13,@,ARI,W5-4,37,32,5,6,3,0,1,5,5,0,11,0,0,0,0,1,0,0,.253,.324,.414,.738,5,12,R,Z.Greinke (37)
69,69,Jun 15,,CIN,W3-2,32,26,3,6,0,0,0,2,3,0,4,1,0,2,0,1,0,1,.252,.324,.412,.735,5,14,R,M.Harvey (47)
70,70,Jun 16,,CIN,W6-2,36,32,6,10,4,0,3,6,3,1,3,0,1,0,0,0,0,0,.253,.324,.416,.740,6,13,R,L.Castillo (43)
71,71,Jun 17,,CIN,L6-8,39,37,6,11,1,0,2,6,2,0,9,0,0,0,0,0,0,0,.254,.325,.417,.741,6,16,R,A.DeSclafani (58)
72,72,Jun 18,,MIL,W1-0,31,28,1,7,1,0,0,1,3,0,4,0,0,0,0,1,0,2,.254,.325,.415,.740,6,12,R,J.Chacin (57)
73,73,Jun 19,,MIL,L2-3,35,33,2,5,1,0,1,2,2,0,13,0,0,0,1,0,0,0,.252,.323,.413,.736,6,14,R,F.Peralta (75)
74,74,Jun 21,,ARI,L3-9,37,32,3,8,1,0,0,3,4,0,6,0,0,1,0,2,0,0,.252,.323,.412,.735,7,16,R,Z.Godley (56)
75,75,Jun 22,,ARI,L1-2,49,42,1,4,0,0,0,0,6,1,17,0,1,0,1,1,1,0,.250,.321,.406,.727,9,18,L,P.Corbin (83)
76,76,Jun 23,,ARI,L2-7,35,34,2,7,0,0,0,2,0,0,8,1,0,0,0,0,1,0,.249,.320,.404,.724,6,14,R,Z.Greinke (75)
77,77,Jun 24,,ARI,L0-3,30,30,0,5,2,0,0,0,0,0,9,0,0,0,0,2,0,0,.248,.318,.402,.720,3,13,R,C.Buchholz (68)
78,78,Jun 25,@,NYM,W6-4,42,35,6,8,1,0,2,6,5,1,7,0,0,2,2,0,2,0,.248,.318,.402,.720,9,15,R,S.Lugo (48)
79,79,Jun 26,@,NYM,L3-4,40,37,3,8,1,0,1,3,2,0,7,1,0,0,0,1,0,0,.248,.318,.401,.719,7,16,L,S.Matz (60)
80,80,Jun 27,@,NYM,W5-3,40,36,5,12,1,0,0,5,2,0,10,0,0,2,0,1,1,0,.249,.318,.401,.719,8,13,R,Z.Wheeler (73)
81,81,Jun 29,@,SDP,W6-3,38,36,6,11,3,0,1,5,0,0,8,1,1,0,1,0,1,0,.249,.318,.402,.720,5,14,L,E.Lauer (34)
