Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn?,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
7,Sunday Apr 8,boxscore,KCR,@,CLE,L-wo,1,3,,2-5,5,2.0,Allen,Maurer,,2:55,D,14240,-,
150,Monday Sep 17,boxscore,KCR,@,PIT,L-wo,6,7,,52-98,5,31.5,Santana,Lively,,3:08,N,10316,--,
142,Sunday Sep 9,boxscore,KCR,@,MIN,L-wo,1,3,,47-95,5,33.5,Hildenberger,Hammel,,2:36,D,20903,-,
162,Sunday Sep 30,boxscore,KCR,,CLE,L,1,2,,58-104,5,33.0,Carrasco,Skoglund,Bauer,2:44,D,19690,-,
160,Friday Sep 28,boxscore,KCR,,CLE,L,6,14,,57-103,5,33.0,Clevinger,Kennedy,,3:16,N,15920,-,
158,Wednesday Sep 26,boxscore,KCR,@,CIN,W,6,1,,56-102,5,33.0,Fillmyer,Reed,,2:48,N,12549,+++,
157,Tuesday Sep 25,boxscore,KCR,@,CIN,W,4,3,,55-102,5,33.0,McCarthy,Iglesias,Peralta,2:40,N,13172,++,
156,Sunday Sep 23,boxscore,KCR,@,DET,W,3,2,,54-102,5,33.5,Keller,VerHagen,Peralta,2:47,D,24230,+,
154,Friday Sep 21,boxscore,KCR,@,DET,W,4,3,,53-101,5,32.5,Kennedy,Liriano,Peralta,2:51,N,22001,+,
149,Sunday Sep 16,boxscore,KCR,,MIN,L,6,9,,52-97,5,31.0,Gibson,Vasto,,3:24,D,20286,-,
141,Saturday Sep 8,boxscore,KCR,@,MIN,W,4,1,,47-94,5,33.5,Lopez,Berrios,Peralta,2:42,N,25814,+,
137,Monday Sep 3,boxscore,KCR,@,CLE,W,5,1,,46-91,5,31.0,Junis,Plutko,Hill,2:40,D,20536,++++++,
131,Sunday Aug 26,boxscore,KCR,,CLE,L,5,12,,40-91,5,34.5,Bieber,Lopez,,3:08,D,18575,-,
123,Saturday Aug 18,boxscore,KCR,@,CHW,W,3,1,,38-85,5,32.5,Keller,Covey,Peralta,3:06,N,19018,+,
120,Wednesday Aug 15,boxscore,KCR,,TOR,L,5,6,,36-84,5,33.0,Estrada,Lopez,Giles,2:39,N,14391,--,
119,Tuesday Aug 14,boxscore,KCR,,TOR,L,5,6,,36-83,5,32.0,Petricka,Boyer,Giles,3:06,N,13680,-,
117,Sunday Aug 12,boxscore,KCR,,STL,L,2,8,,35-82,5,31.0,Ross,Hammel,,3:04,D,23409,---,
116,Saturday Aug 11,boxscore,KCR,,STL,L,3,8,,35-81,5,30.0,Flaherty,Duffy,Hicks,2:56,N,38427,--,
115,Friday Aug 10,boxscore,KCR,,STL,L,0,7,,35-80,5,29.0,Gomber,Smith,Poncedeleon,3:04,N,29414,-,
113,Tuesday Aug 7,boxscore,KCR,,CHC,L,0,5,,34-79,5,28.5,Montgomery,Keller,,2:49,N,27883,------,
112,Monday Aug 6,boxscore,KCR,,CHC,L,1,3,,34-78,5,28.5,Hamels,McCarthy,Strop,2:52,N,32339,-----,
107,Wednesday Aug 1,boxscore,KCR,@,CHW,W,10,5,,34-73,5,25.0,Junis,Covey,,3:01,N,18019,++,
106,Tuesday Jul 31,boxscore,KCR,@,CHW,W,4,2,,33-73,5,25.0,Duffy,Shields,Peralta,3:10,N,15250,+,
103,Saturday Jul 28 (1),boxscore,KCR,@,NYY,W,10,5,,32-71,5,24.5,Keller,Severino,,3:06,D,46571,+,
101,Wednesday Jul 25,boxscore,KCR,,DET,L,4,8,,31-70,5,24.0,Boyd,Duffy,,2:50,D,17382,-,
99,Monday Jul 23,boxscore,KCR,,DET,L,4,5,,30-69,5,24.0,Wilson,Maurer,Greene,3:13,N,18370,-,
94,Saturday Jul 14,boxscore,KCR,@,CHW,W,5,0,,27-67,5,24.0,Duffy,Lopez,,2:47,D,20159,+,
91,Tuesday Jul 10,boxscore,KCR,@,MIN,W,9,4,,26-65,5,23.5,Flynn,Slegers,,3:30,N,27551,+,
89,Sunday Jul 8,boxscore,KCR,,BOS,L,4,7,,25-64,5,24.5,Porcello,Fillmyer,Kimbrel,3:25,D,28443,---------,
88,Saturday Jul 7,boxscore,KCR,,BOS,L,4,15,,25-63,5,24.5,Hembree,Adam,,4:03,N,30347,--------,
87,Friday Jul 6,boxscore,KCR,,BOS,L,5,10,,25-62,5,24.5,Sale,Hammel,,2:59,N,24673,-------,
86,Wednesday Jul 4,boxscore,KCR,,CLE,L,2,3,,25-61,5,23.5,Bauer,Oaks,Allen,2:49,N,22001,------,
85,Tuesday Jul 3,boxscore,KCR,,CLE,L,4,6,,25-60,5,22.5,Bieber,Duffy,Allen,2:58,N,19005,-----,
