Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
64,Saturday Jun 9,boxscore,SFG,@,WSN,L,5,7,,32-32,2,2.5,Miller,Rodriguez,Doolittle,3:23,D,37701,-,
65,Sunday Jun 10,boxscore,SFG,@,WSN,W,2,0,,33-32,2,2.5,Holland,Scherzer,Strickland,2:51,D,35705,+,
66,Monday Jun 11,boxscore,SFG,@,MIA,L,5,7,,33-33,3,3.5,Conley,Dyson,Barraclough,3:03,N,6023,-,
67,Tuesday Jun 12,boxscore,SFG,@,MIA,L,1,3,,33-34,3,4.5,Richards,Stratton,Barraclough,2:35,N,5928,--,
68,Wednesday Jun 13,boxscore,SFG,@,MIA,L-wo,4,5,,33-35,4,4.5,Steckenrider,Moronta,,3:13,N,6075,---,
69,Thursday Jun 14,boxscore,SFG,@,MIA,W,6,3,16,34-35,3,4.5,Blach,Hernandez,Dyson,4:49,D,9726,+,
70,Friday Jun 15,boxscore,SFG,@,LAD,L,2,3,,34-36,4,5.5,Stripling,Holland,Jansen,2:53,N,53433,-,
71,Saturday Jun 16,boxscore,SFG,@,LAD,L,1,3,,34-37,4,5.5,Wood,Bumgarner,Jansen,2:50,N,53706,--,
72,Sunday Jun 17,boxscore,SFG,@,LAD,W,4,1,,35-37,3,4.5,Stratton,Ferguson,,2:54,D,49541,+,
73,Monday Jun 18,boxscore,SFG,,MIA,L,4,5,,35-38,3,5.5,Guerrero,Strickland,Barraclough,2:47,N,36743,-,
74,Tuesday Jun 19,boxscore,SFG,,MIA,W,6,3,,36-38,3,4.5,Rodriguez,Straily,Dyson,2:51,N,37242,+,
75,Wednesday Jun 20,boxscore,SFG,,MIA,W,6,5,,37-38,3,4.0,Holland,Urena,Moronta,3:04,D,35903,++,
76,Thursday Jun 21,boxscore,SFG,,SDP,W,3,0,,38-38,3,4.0,Bumgarner,Ross,Melancon,2:23,N,37497,+++,
77,Friday Jun 22,boxscore,SFG,,SDP,L,2,6,,38-39,4,5.0,Richard,Stratton,,2:53,N,40546,-,
78,Saturday Jun 23,boxscore,SFG,,SDP,W,5,3,,39-39,3,5.0,Moronta,Cimber,,2:36,D,40348,+,
79,Sunday Jun 24,boxscore,SFG,,SDP,W-wo,3,2,11,40-39,3,5.0,Blach,Hand,,3:02,D,39230,++,
80,Tuesday Jun 26,boxscore,SFG,,COL,W,3,2,,41-39,3,4.5,Watson,Ottavino,Dyson,2:57,N,36070,+++,
81,Wednesday Jun 27,boxscore,SFG,,COL,W-wo,1,0,,42-39,3,4.5,Moronta,Musgrave,,2:34,N,36046,++++,
82,Thursday Jun 28,boxscore,SFG,,COL,L,8,9,,42-40,3,5.5,Ottavino,Dyson,Davis,3:10,D,37529,-,
83,Friday Jun 29,boxscore,SFG,@,ARI,W,2,1,,43-40,3,4.5,Suarez,Chafin,Smith,2:49,N,30981,+,
84,Saturday Jun 30,boxscore,SFG,@,ARI,W,7,0,,44-40,2,3.5,Rodriguez,Miller,,2:51,N,38117,++,
85,Sunday Jul 1,boxscore,SFG,@,ARI,W,9,6,,45-40,2,2.5,Gearrin,Godley,Smith,3:45,D,29721,+++,
86,Monday Jul 2,boxscore,SFG,@,COL,L,2,5,,45-41,3,2.5,Freeland,Bumgarner,Davis,2:45,N,40333,-,
87,Tuesday Jul 3,boxscore,SFG,@,COL,L,1,8,,45-42,3,3.5,Senzatela,Stratton,,2:51,N,48072,--,
88,Wednesday Jul 4,boxscore,SFG,@,COL,L,0,1,,45-43,3,3.5,Anderson,Suarez,Davis,2:15,N,48158,---,
89,Thursday Jul 5,boxscore,SFG,,STL,L,2,11,,45-44,3,3.5,Weaver,Cueto,,2:35,N,38766,----,
90,Friday Jul 6,boxscore,SFG,,STL,W,3,2,,46-44,3,3.5,Moronta,Brebbia,Smith,2:26,N,37996,+,
91,Saturday Jul 7,boxscore,SFG,,STL,L,2,3,,46-45,4,4.5,Martinez,Samardzija,Norris,2:51,D,39606,-,
92,Sunday Jul 8,boxscore,SFG,,STL,W,13,8,,47-45,3,3.5,Bumgarner,Brebbia,,3:47,D,38855,+,
93,Monday Jul 9,boxscore,SFG,,CHC,W-wo,2,1,11,48-45,3,3.0,Blach,Cishek,,3:09,N,38024,++,
94,Tuesday Jul 10,boxscore,SFG,,CHC,L,0,2,,48-46,3,4.0,Quintana,Holland,Cishek,2:43,N,39113,-,
95,Wednesday Jul 11,boxscore,SFG,,CHC,W-wo,5,4,13,49-46,3,3.0,Rodriguez,Norwood,,4:30,D,41099,+,
