"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"72",144,144,"Monday Sep 10","boxscore","ARI","@","COL","L",2,13,NA,"76-68",3,"3.5","Marquez","Godley",NA,03:09:00,"N",25114,"---",NA
"73",145,145,"Tuesday Sep 11","boxscore","ARI","@","COL","W",6,3,NA,"77-68",3,"2.5","Greinke","Senzatela","Hirano",03:14:00,"N",26510,"+",NA
"74",146,146,"Wednesday Sep 12","boxscore","ARI","@","COL","L-wo",4,5,NA,"77-69",3,"3.5","Davis","Hirano",NA,03:07:00,"N",31687,"-",NA
"75",147,147,"Thursday Sep 13","boxscore","ARI","@","COL","L",3,10,NA,"77-70",3,"4.5","Freeland","Koch",NA,03:04:00,"D",31783,"--",NA
"76",148,148,"Friday Sep 14","boxscore","ARI","@","HOU","W",4,2,NA,"78-70",3,"3.5","Ziegler","Rondon","Hirano",03:36:00,"N",36924,"+",NA
"77",149,149,"Saturday Sep 15","boxscore","ARI","@","HOU","L",4,10,NA,"78-71",3,"4.0","Morton","Godley",NA,03:17:00,"N",38345,"-",NA
"78",150,150,"Sunday Sep 16","boxscore","ARI","@","HOU","L",4,5,NA,"78-72",3,"4.5","Verlander","Greinke","Osuna",03:09:00,"D",37889,"--",NA
"79",160,160,"Friday Sep 28","boxscore","ARI","@","SDP","L-wo",2,3,15,"81-79",3,"9.0","Brewer","Andriese",NA,05:02:00,"N",28055,"-",NA
"80",161,161,"Saturday Sep 29","boxscore","ARI","@","SDP","W",5,4,NA,"82-79",3,"8.0","Godley","Nix","Hirano",02:49:00,"N",28024,"+",NA
"81",162,162,"Sunday Sep 30","boxscore","ARI","@","SDP","L-wo",3,4,10,"82-80",3,"9.0","Castillo","Barrett",NA,03:29:00,"D",31243,"-",NA
"82",169,7,"Friday Apr 6","boxscore","ATL","@","COL","W",8,3,NA,"5-2",2,"0.5","McCarthy","Marquez",NA,02:56:00,"D",48216,"+++",NA
"83",170,8,"Saturday Apr 7","boxscore","ATL","@","COL","L-wo",2,3,10,"5-3",2,"1.5","Ottavino","Vizcaino",NA,03:28:00,"N",40120,"-",NA
"84",171,9,"Sunday Apr 8","boxscore","ATL","@","COL","W",4,0,NA,"6-3",2,"1.5","Newcomb","Freeland",NA,02:26:00,"D",42031,"+",NA
"85",172,10,"Monday Apr 9","boxscore","ATL","@","WSN","L",0,2,NA,"6-4",2,"2.5","Scherzer","Teheran",NA,02:21:00,"N",19528,"-",NA
"86",173,11,"Tuesday Apr 10","boxscore","ATL","@","WSN","L",1,4,NA,"6-5",2,"3.5","Strasburg","Foltynewicz","Madson",02:44:00,"N",19357,"--",NA
"87",174,12,"Wednesday Apr 11","boxscore","ATL","@","WSN","W",5,3,12,"7-5",2,"3.5","Carle","Madson",NA,03:43:00,"D",21109,"+",NA
"88",175,13,"Friday Apr 13","boxscore","ATL","@","CHC","W",4,0,NA,"8-5",2,"3.5","Sanchez","Darvish",NA,03:09:00,"D",29775,"++",NA
"89",176,14,"Saturday Apr 14","boxscore","ATL","@","CHC","L",10,14,NA,"8-6",3,"3.5","Wilson","Ramirez",NA,03:43:00,"D",36788,"-",NA
"90",183,21,"Monday Apr 23","boxscore","ATL","@","CIN","L",4,10,NA,"12-9",3,"2.5","Romano","Freeman","Iglesias",03:11:00,"N",9463,"-",NA
"91",184,22,"Tuesday Apr 24","boxscore","ATL","@","CIN","L-wo",7,9,12,"12-10",3,"3.5","Hughes","Fried",NA,04:06:00,"N",14139,"--",NA
"92",185,23,"Wednesday Apr 25","boxscore","ATL","@","CIN","W",5,4,NA,"13-10",3,"2.5","Winkler","Shackelford","Minter",03:07:00,"N",13113,"+",NA
