Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
67,Wednesday Jun 13,boxscore,ATL,,NYM,W,2,0,,39-28,1,up 0.5,Soroka,deGrom,Vizcaino,2:12,D,32015,++,
68,Thursday Jun 14,boxscore,ATL,,SDP,W,4,2,,40-28,1,up 1.0,Sanchez,Ross,Vizcaino,2:26,N,25250,+++,
69,Friday Jun 15,boxscore,ATL,,SDP,L,3,9,,40-29,1,up 1.0,Richard,Freeman,,2:50,N,41497,-,
70,Saturday Jun 16,boxscore,ATL,,SDP,W,1,0,,41-29,1,up 2.0,Newcomb,Lyles,Vizcaino,2:19,N,41916,+,
71,Sunday Jun 17,boxscore,ATL,,SDP,W,4,1,,42-29,1,up 3.0,Teheran,Castillo,Vizcaino,3:10,D,40251,++,
72,Tuesday Jun 19,boxscore,ATL,@,TOR,W,11,4,,43-29,1,up 3.5,Freeman,Garcia,,3:03,N,32466,+++,
73,Wednesday Jun 20,boxscore,ATL,@,TOR,L,4,5,,43-30,1,up 3.5,Happ,Sanchez,Tepera,2:30,D,45563,-,
74,Friday Jun 22,boxscore,ATL,,BAL,L,7,10,15,43-31,1,up 2.5,Wright,Moylan,,5:21,N,37192,--,
75,Saturday Jun 23,boxscore,ATL,,BAL,L,5,7,,43-32,1,up 1.5,Bundy,Teheran,Britton,3:08,D,40333,---,
76,Sunday Jun 24,boxscore,ATL,,BAL,W,7,3,,44-32,1,up 2.5,McCarthy,Hess,,2:54,D,33794,+,
77,Monday Jun 25,boxscore,ATL,,CIN,W-wo,5,4,11,45-32,1,up 3.5,Jackson,Floro,,3:45,N,27851,++,
78,Tuesday Jun 26,boxscore,ATL,,CIN,L,3,5,,45-33,1,up 3.5,Harvey,Sanchez,Iglesias,3:20,N,28356,-,
79,Wednesday Jun 27,boxscore,ATL,,CIN,L,5,6,,45-34,1,up 2.5,Stephens,Freeman,Iglesias,3:01,D,30207,--,
80,Friday Jun 29,boxscore,ATL,@,STL,W,5,1,,46-34,1,up 3.0,Teheran,Mikolas,Winkler,3:14,N,46226,+,
81,Saturday Jun 30,boxscore,ATL,@,STL,W,11,4,,47-34,1,up 3.0,Fried,Weaver,,3:11,N,46667,++,
82,Sunday Jul 1,boxscore,ATL,@,STL,W,6,5,,48-34,1,up 3.0,Foltynewicz,Gant,Minter,3:11,D,46448,+++,
83,Monday Jul 2,boxscore,ATL,@,NYY,W,5,3,11,49-34,1,up 3.5,Biddle,Robertson,Minter,3:53,N,43792,++++,
84,Tuesday Jul 3,boxscore,ATL,@,NYY,L,5,8,,49-35,1,up 2.5,Cole,Newcomb,Chapman,3:46,N,45448,-,
85,Wednesday Jul 4,boxscore,ATL,@,NYY,L,2,6,,49-36,1,up 1.5,Sabathia,Teheran,,3:07,D,46658,--,
86,Thursday Jul 5,boxscore,ATL,@,MIL,L,2,7,,49-37,1,up 1.0,Chacin,Fried,Jennings,2:45,N,27557,---,
87,Friday Jul 6,boxscore,ATL,@,MIL,L,4,5,,49-38,1,Tied,Peralta,Foltynewicz,Knebel,2:47,N,31452,----,
88,Saturday Jul 7,boxscore,ATL,@,MIL,W,5,1,,50-38,1,Tied,Sanchez,Wilkerson,,3:06,D,38813,+,
89,Sunday Jul 8,boxscore,ATL,@,MIL,L,3,10,,50-39,1,Tied,Guerra,Newcomb,,3:24,D,43262,-,
90,Tuesday Jul 10,boxscore,ATL,,TOR,L,2,6,,50-40,2,1.0,Stroman,Minter,,2:58,N,31747,--,
91,Wednesday Jul 11,boxscore,ATL,,TOR,W,9,5,,51-40,1,Tied,Foltynewicz,Gaviglio,,2:58,N,27839,+,
92,Friday Jul 13,boxscore,ATL,,ARI,L,1,2,,51-41,2,1.5,Godley,Freeman,Boxberger,3:05,N,42130,-,
93,Saturday Jul 14,boxscore,ATL,,ARI,L,0,3,,51-42,2,1.5,Greinke,Newcomb,Boxberger,2:53,D,40862,--,
94,Sunday Jul 15,boxscore,ATL,,ARI,W,5,1,,52-42,2,0.5,Teheran,Corbin,,2:42,D,27323,+,
95,Friday Jul 20,boxscore,ATL,@,WSN,W,8,5,,53-42,2,0.5,Sanchez,Strasburg,Minter,2:57,N,41008,++,
96,Sunday Jul 22,boxscore,ATL,@,WSN,L,2,6,,53-43,2,1.0,Scherzer,Foltynewicz,Herrera,3:26,D,39063,-,
97,Monday Jul 23,boxscore,ATL,@,MIA,W,12,1,,54-43,1,Tied,Newcomb,Urena,,2:48,N,8259,+,
98,Tuesday Jul 24,boxscore,ATL,@,MIA,L,3,9,,54-44,2,1.0,Chen,Teheran,,2:37,D,21673,-,
99,Thursday Jul 26,boxscore,ATL,,LAD,L,2,8,,54-45,2,2.5,Hill,Sanchez,,2:55,N,40706,--,
100,Friday Jul 27,boxscore,ATL,,LAD,L,1,4,,54-46,2,2.5,Kershaw,Foltynewicz,Jansen,2:51,N,41647,---,
101,Saturday Jul 28,boxscore,ATL,,LAD,L,1,5,,54-47,2,2.5,Wood,Fried,,3:22,N,41758,----,
102,Sunday Jul 29,boxscore,ATL,,LAD,W,4,1,,55-47,2,1.5,Newcomb,Stripling,,2:47,D,40303,+,
103,Monday Jul 30,boxscore,ATL,,MIA,W,5,3,,56-47,2,0.5,Teheran,Chen,Minter,2:49,N,21230,++,
104,Tuesday Jul 31,boxscore,ATL,,MIA,W,11,6,,57-47,2,0.5,Allard,Straily,,2:53,N,18627,+++,
105,Thursday Aug 2,boxscore,ATL,@,NYM,W,4,2,,58-47,2,0.5,Foltynewicz,Vargas,Minter,2:49,N,24525,++++,
106,Friday Aug 3,boxscore,ATL,@,NYM,W,2,1,,59-47,2,0.5,Sanchez,deGrom,Minter,2:26,N,25101,+++++,
107,Saturday Aug 4,boxscore,ATL,@,NYM,L,0,3,,59-48,2,1.5,Wheeler,Gausman,Gsellman,2:41,N,36946,-,
108,Sunday Aug 5,boxscore,ATL,@,NYM,W,5,4,10,60-48,2,1.5,Minter,Bashlor,Biddle,3:19,D,27134,+,
109,Tuesday Aug 7 (1),boxscore,ATL,@,WSN,L,3,8,,60-49,2,1.5,Rodriguez,Allard,,3:08,D,26965,-,
110,Tuesday Aug 7 (2),boxscore,ATL,@,WSN,W,3,1,,61-49,2,1.5,Biddle,Herrera,Minter,2:54,N,28970,+,
111,Wednesday Aug 8,boxscore,ATL,@,WSN,W,8,3,,62-49,2,0.5,Foltynewicz,Milone,,3:04,N,30203,++,
112,Thursday Aug 9,boxscore,ATL,@,WSN,L,3,6,,62-50,2,1.0,Gonzalez,Parsons,,2:30,D,28347,-,
113,Friday Aug 10,boxscore,ATL,,MIL,W,10,1,,63-50,1,Tied,Gausman,Peralta,,2:59,N,36519,+,
114,Saturday Aug 11,boxscore,ATL,,MIL,L,2,4,,63-51,2,1.0,Burnes,Biddle,Hader,2:42,N,40297,-,
115,Sunday Aug 12,boxscore,ATL,,MIL,W,8,7,,64-51,1,Tied,Venters,Jennings,Minter,3:19,D,25360,+,
116,Monday Aug 13 (1),boxscore,ATL,,MIA,W,9,1,,65-51,1,up 1.0,Toussaint,Lopez,,2:39,D,16049,++,
117,Monday Aug 13 (2),boxscore,ATL,,MIA,W,6,1,,66-51,1,up 1.0,Foltynewicz,Gonzalez,,2:58,N,18186,+++,
118,Tuesday Aug 14,boxscore,ATL,,MIA,W,10,6,,67-51,1,up 2.0,Biddle,Conley,,2:52,N,19409,++++,
119,Wednesday Aug 15,boxscore,ATL,,MIA,W,5,2,,68-51,1,up 2.0,Gausman,Garcia,Minter,2:50,N,19045,+++++,
