Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
77,Saturday Jun 23,boxscore,DET,@,CLE,L,1,4,,36-41,2,7.0,Bauer,Liriano,Allen,2:51,N,34435,----,
78,Sunday Jun 24,boxscore,DET,@,CLE,L,2,12,,36-42,2,8.0,Plutko,Boyd,,2:55,D,31208,-----,
79,Monday Jun 25,boxscore,DET,,OAK,L,4,5,,36-43,3,8.0,Trivino,Greene,Treinen,3:17,D,19127,------,
80,Tuesday Jun 26,boxscore,DET,,OAK,L,7,9,,36-44,3,8.0,Buchter,Greene,Treinen,3:47,N,22809,-------,
81,Wednesday Jun 27,boxscore,DET,,OAK,L,0,3,,36-45,3,9.0,Bassitt,Fiers,Trivino,3:11,N,23961,--------,
82,Thursday Jun 28,boxscore,DET,,OAK,L,2,4,,36-46,3,9.5,Manaea,Fulmer,Treinen,2:29,D,28866,---------,
83,Friday Jun 29,boxscore,DET,@,TOR,L,2,3,,36-47,3,9.5,Stroman,Liriano,Clippard,2:33,N,24068,----------,
84,Saturday Jun 30,boxscore,DET,@,TOR,L-wo,3,4,,36-48,3,9.5,Oh,Jimenez,,2:38,D,27066,-----------,
85,Sunday Jul 1,boxscore,DET,@,TOR,W,9,1,,37-48,3,9.5,Zimmermann,Happ,,2:31,D,37445,+,
86,Monday Jul 2,boxscore,DET,@,TOR,W,3,2,10,38-48,2,9.5,Jimenez,Oh,Hardy,2:44,D,29575,++,
87,Tuesday Jul 3,boxscore,DET,@,CHC,L,3,5,,38-49,2,10.5,Wilson,Stumpf,Strop,2:57,D,38424,-,
88,Wednesday Jul 4,boxscore,DET,@,CHC,L,2,5,,38-50,2,11.5,Quintana,Liriano,Morrow,3:04,D,40510,--,
89,Thursday Jul 5,boxscore,DET,,TEX,L,5,7,,38-51,3,12.0,Gallardo,Boyd,Kela,2:55,N,21248,---,
90,Friday Jul 6,boxscore,DET,,TEX,W,3,1,,39-51,3,12.0,Zimmermann,Colon,Jimenez,2:05,N,27316,+,
91,Saturday Jul 7,boxscore,DET,,TEX,W,7,2,,40-51,3,11.0,Fiers,Hamels,,3:08,D,29174,++,
92,Sunday Jul 8,boxscore,DET,,TEX,L,0,3,,40-52,3,11.0,Bibens-Dirkx,Fulmer,Kela,2:48,D,22047,-,
93,Monday Jul 9,boxscore,DET,@,TBR,L-wo,9,10,10,40-53,3,11.0,Andriese,Hardy,,3:55,N,14229,--,
94,Tuesday Jul 10,boxscore,DET,@,TBR,L,2,5,,40-54,3,11.0,Alvarado,Boyd,Romo,2:25,N,13478,---,
95,Wednesday Jul 11,boxscore,DET,@,TBR,L,2,4,,40-55,3,12.0,Yarbrough,Zimmermann,Romo,2:40,D,13922,----,
96,Friday Jul 13,boxscore,DET,@,HOU,L,0,3,,40-56,3,12.5,Keuchel,Fiers,Rondon,2:44,N,38843,-----,
97,Saturday Jul 14,boxscore,DET,@,HOU,L,1,9,,40-57,3,12.5,Cole,Fulmer,,2:42,D,40405,------,
98,Sunday Jul 15,boxscore,DET,@,HOU,W,6,3,,41-57,3,12.5,VerHagen,Verlander,,2:28,D,39455,+,
99,Friday Jul 20,boxscore,DET,,BOS,L,0,1,,41-58,3,13.5,Price,Boyd,Kimbrel,3:31,N,33817,-,
100,Saturday Jul 21,boxscore,DET,,BOS,W,5,0,,42-58,3,13.5,Fiers,Johnson,,2:27,N,31682,+,
101,Sunday Jul 22,boxscore,DET,,BOS,L,1,9,,42-59,3,13.5,Sale,Hardy,,2:55,D,25012,-,
102,Monday Jul 23,boxscore,DET,@,KCR,W,5,4,,43-59,3,12.5,Wilson,Maurer,Greene,3:13,N,18370,+,
103,Tuesday Jul 24,boxscore,DET,@,KCR,L,4,5,,43-60,3,12.5,Smith,Zimmermann,Peralta,2:43,N,25957,-,
104,Wednesday Jul 25,boxscore,DET,@,KCR,W,8,4,,44-60,3,12.5,Boyd,Duffy,,2:50,D,17382,+,
105,Friday Jul 27,boxscore,DET,,CLE,L,3,8,,44-61,3,13.5,Allen,Jimenez,,3:09,N,26962,-,
106,Saturday Jul 28,boxscore,DET,,CLE,W,2,1,,45-61,3,12.5,Hardy,Clevinger,Greene,2:27,N,29097,+,
107,Sunday Jul 29,boxscore,DET,,CLE,L,1,8,,45-62,3,13.5,Kluber,Zimmermann,,2:55,D,26498,-,
108,Tuesday Jul 31,boxscore,DET,,CIN,W,2,1,,46-62,3,13.0,Boyd,Bailey,Greene,2:18,N,24929,+,
109,Wednesday Aug 1,boxscore,DET,,CIN,W,7,4,,47-62,3,13.0,VerHagen,Romano,Greene,2:55,D,24952,++,
110,Friday Aug 3,boxscore,DET,@,OAK,L-wo,0,1,13,47-63,3,13.0,Pagan,Farmer,,3:32,N,14766,-,
111,Saturday Aug 4,boxscore,DET,@,OAK,L,1,2,,47-64,3,14.0,Jackson,Zimmermann,Treinen,2:30,N,33668,--,
112,Sunday Aug 5,boxscore,DET,@,OAK,L,0,6,,47-65,3,15.0,Cahill,Liriano,,2:41,D,19559,---,
113,Monday Aug 6,boxscore,DET,@,LAA,L,2,6,,47-66,3,16.0,Tropeano,Boyd,,2:53,N,34073,----,
114,Tuesday Aug 7,boxscore,DET,@,LAA,L,5,11,,47-67,3,16.0,Heaney,Turner,,3:08,N,35824,-----,
115,Wednesday Aug 8,boxscore,DET,@,LAA,L,0,6,,47-68,3,17.0,Barria,Hardy,,2:45,D,38832,------,
116,Friday Aug 10,boxscore,DET,,MIN,W,5,3,,48-68,3,16.5,Zimmermann,Santana,Greene,2:37,N,24849,+,
117,Saturday Aug 11,boxscore,DET,,MIN,L,3,4,,48-69,3,17.5,Gibson,Liriano,Hildenberger,3:09,N,26991,-,
118,Sunday Aug 12,boxscore,DET,,MIN,W,4,2,,49-69,3,17.5,Boyd,Stewart,Greene,2:33,D,30105,+,
119,Monday Aug 13,boxscore,DET,,CHW,W,9,5,,50-69,3,17.5,Coleman,Gomez,,3:35,N,20964,++,
120,Tuesday Aug 14,boxscore,DET,,CHW,L,3,6,,50-70,3,18.5,Giolito,Hardy,Cedeno,3:01,N,20661,-,
121,Wednesday Aug 15,boxscore,DET,,CHW,L,5,6,,50-71,3,19.5,Rodon,Zimmermann,Avilan,2:54,D,23784,--,
122,Thursday Aug 16,boxscore,DET,@,MIN,L,8,15,,50-72,3,20.0,May,Liriano,,3:35,N,25108,---,
123,Friday Aug 17,boxscore,DET,@,MIN,L,4,5,,50-73,3,21.0,Gibson,Boyd,Rogers,2:43,N,26605,----,
124,Saturday Aug 18,boxscore,DET,@,MIN,W,7,5,,51-73,3,20.0,Carpenter,Duffey,Greene,3:29,N,31904,+,
125,Sunday Aug 19,boxscore,DET,@,MIN,L,4,5,,51-74,3,21.0,Hildenberger,Wilson,,3:16,D,27917,-,
126,Tuesday Aug 21,boxscore,DET,,CHC,W,2,1,,52-74,3,21.5,Zimmermann,Hendricks,Greene,2:45,N,26638,+,
127,Wednesday Aug 22,boxscore,DET,,CHC,L,2,8,,52-75,3,21.5,Lester,Liriano,,3:26,N,28286,-,
128,Thursday Aug 23,boxscore,DET,,CHW,W,7,2,,53-75,3,20.5,Boyd,Shields,,2:47,D,22247,+,
129,Friday Aug 24,boxscore,DET,,CHW,L,3,6,,53-76,3,20.5,Vieira,Jimenez,,3:28,N,23191,-,
130,Saturday Aug 25,boxscore,DET,,CHW,L,1,6,,53-77,3,20.5,Giolito,Carpenter,,2:41,N,26183,--,
131,Sunday Aug 26,boxscore,DET,,CHW,L,2,7,,53-78,3,21.5,Kopech,Zimmermann,Fry,3:03,D,34036,---,
132,Tuesday Aug 28,boxscore,DET,@,KCR,L,2,6,,53-79,3,22.5,Junis,Boyd,,2:24,N,16888,----,
133,Wednesday Aug 29,boxscore,DET,@,KCR,L,2,9,,53-80,3,22.5,Duffy,Fulmer,,2:38,D,17091,-----,
134,Thursday Aug 30,boxscore,DET,@,NYY,W,8,7,,54-80,3,22.5,Wilson,Betances,Greene,3:32,N,37195,+,
135,Friday Aug 31,boxscore,DET,@,NYY,L,5,7,,54-81,3,23.5,Britton,Jimenez,Robertson,3:10,N,41026,-,
136,Saturday Sep 1,boxscore,DET,@,NYY,L,1,2,,54-82,3,23.5,Tanaka,Norris,Betances,3:00,D,42816,--,
137,Sunday Sep 2,boxscore,DET,@,NYY,W,11,7,,55-82,3,22.5,Boyd,Lynn,,3:41,D,43721,+,
138,Monday Sep 3,boxscore,DET,@,CHW,L-wo,2,4,,55-83,4,22.5,Fry,Greene,,2:48,D,15540,-,
139,Tuesday Sep 4,boxscore,DET,@,CHW,W,8,3,,56-83,3,22.5,Liriano,Giolito,,3:26,N,13012,+,
140,Wednesday Sep 5,boxscore,DET,@,CHW,W,10,2,,57-83,3,22.5,Zimmermann,Kopech,,3:17,N,16036,++,
