"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"83",83,"Saturday Jun 30","boxscore","ARI","","SFG","L",0,7,NA,"47-36",1,"up 3.5","Rodriguez","Miller","","2:51","N",38117,"--",NA
"84",84,"Sunday Jul 1","boxscore","ARI","","SFG","L",6,9,NA,"47-37",1,"up 2.5","Gearrin","Godley","Smith","3:45","D",29721,"---",NA
"85",85,"Monday Jul 2","boxscore","ARI","","STL","L",3,6,NA,"47-38",1,"up 1.5","Martinez","Ray","Norris","2:52","N",20334,"----",NA
"86",86,"Tuesday Jul 3","boxscore","ARI","","STL","W",4,2,NA,"48-38",1,"up 1.5","Greinke","Flaherty","Boxberger","2:51","N",25843,"+",NA
"87",87,"Wednesday Jul 4","boxscore","ARI","","STL","L",4,8,NA,"48-39",1,"up 0.5","Mikolas","Hirano","","3:47","N",44072,"-",NA
"88",88,"Thursday Jul 5","boxscore","ARI","","SDP","L",3,6,NA,"48-40",1,"Tied","Lauer","Miller","Hand","3:15","N",17982,"--",NA
"89",89,"Friday Jul 6","boxscore","ARI","","SDP","W",3,1,NA,"49-40",1,"up 1.0","Godley","Lucchesi","Boxberger","2:52","N",25128,"+",NA
"90",90,"Saturday Jul 7","boxscore","ARI","","SDP","W",20,5,NA,"50-40",1,"up 1.0","Delgado","Ross","","3:23","N",27091,"++",NA
"91",91,"Sunday Jul 8","boxscore","ARI","","SDP","L",3,4,16,"50-41",1,"up 1.0","Hand","Mathis","","5:31","D",24869,"-",NA
"92",92,"Tuesday Jul 10","boxscore","ARI","@","COL","W",5,3,NA,"51-41",1,"up 1.5","Delgado","McGee","Boxberger","3:40","N",43405,"+",NA
"93",93,"Wednesday Jul 11","boxscore","ARI","@","COL","L",2,19,NA,"51-42",1,"up 0.5","Marquez","Miller","","3:05","N",33919,"-",NA
"94",94,"Thursday Jul 12","boxscore","ARI","@","COL","L",1,5,NA,"51-43",2,"0.5","Oberg","Ray","","3:17","D",41410,"--",NA
"95",95,"Friday Jul 13","boxscore","ARI","@","ATL","W",2,1,NA,"52-43",2,"0.5","Godley","Freeman","Boxberger","3:05","N",42130,"+",NA
"96",96,"Saturday Jul 14","boxscore","ARI","@","ATL","W",3,0,NA,"53-43",1,"up 0.5","Greinke","Newcomb","Boxberger","2:53","D",40862,"++",NA
"97",97,"Sunday Jul 15","boxscore","ARI","@","ATL","L",1,5,NA,"53-44",2,"0.5","Teheran","Corbin","","2:42","D",27323,"-",NA
"98",98,"Friday Jul 20","boxscore","ARI","","COL","L",10,11,NA,"53-45",2,"1.5","Oberg","Bradley","Ottavino","4:02","N",29546,"--",NA
"99",99,"Saturday Jul 21","boxscore","ARI","","COL","L",5,6,NA,"53-46",3,"1.5","Oberg","Hirano","Davis","3:21","N",43340,"---",NA
"100",100,"Sunday Jul 22","boxscore","ARI","","COL","W",6,1,NA,"54-46",2,"1.5","Greinke","Senzatela","","2:45","D",32985,"+",NA
"101",101,"Monday Jul 23","boxscore","ARI","@","CHC","W",7,1,NA,"55-46",2,"1.5","Corbin","Farrell","","2:55","N",40859,"++",NA
"102",102,"Tuesday Jul 24","boxscore","ARI","@","CHC","W",5,1,NA,"56-46",2,"0.5","Buchholz","Hendricks","","3:13","N",40869,"+++",NA
"103",103,"Wednesday Jul 25","boxscore","ARI","@","CHC","L",1,2,NA,"56-47",2,"0.5","Edwards","McFarland","Strop","2:39","D",35548,"-",NA
"104",104,"Thursday Jul 26","boxscore","ARI","@","CHC","L-wo",6,7,NA,"56-48",2,"1.5","Butler","Boxberger","","3:22","D",38979,"--",NA
"105",105,"Friday Jul 27","boxscore","ARI","@","SDP","W",6,2,NA,"57-48",2,"1.5","Greinke","Perdomo","","2:37","N",34725,"+",NA
