"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"2187",79,"Monday Jun 25","boxscore","OAK","@","DET","W",5,4,NA,"41-38",3,"10.5","Trivino","Greene","Treinen","3:17","D",19127,"+",NA
"2188",80,"Tuesday Jun 26","boxscore","OAK","@","DET","W",9,7,NA,"42-38",3,"10.5","Buchter","Greene","Treinen","3:47","N",22809,"++",NA
"2189",81,"Wednesday Jun 27","boxscore","OAK","@","DET","W",3,0,NA,"43-38",3,"10.5","Bassitt","Fiers","Trivino","3:11","N",23961,"+++",NA
"2190",82,"Thursday Jun 28","boxscore","OAK","@","DET","W",4,2,NA,"44-38",3,"10.5","Manaea","Fulmer","Treinen","2:29","D",28866,"++++",NA
"2191",83,"Friday Jun 29","boxscore","OAK","","CLE","W",3,1,NA,"45-38",3,"9.5","Blackburn","Bauer","Treinen","2:50","N",14823,"+++++",NA
"2192",84,"Saturday Jun 30","boxscore","OAK","","CLE","W",7,2,NA,"46-38",3,"8.5","Jackson","Plutko","Trivino","2:50","D",17748,"++++++",NA
"2193",85,"Sunday Jul 1","boxscore","OAK","","CLE","L",3,15,NA,"46-39",3,"8.5","Clevinger","Montas","","3:21","D",16164,"-",NA
"2194",86,"Tuesday Jul 3","boxscore","OAK","","SDP","W",6,2,NA,"47-39",3,"8.5","Pagan","Richard","","2:39","N",29925,"+",NA
"2195",87,"Wednesday Jul 4","boxscore","OAK","","SDP","W",4,2,NA,"48-39",3,"8.5","Trivino","Castillo","Treinen","2:33","D",14408,"++",NA
"2196",88,"Friday Jul 6","boxscore","OAK","@","CLE","L",4,10,NA,"48-40",3,"10.0","Carrasco","Blackburn","","3:16","N",34633,"-",NA
"2197",89,"Saturday Jul 7","boxscore","OAK","@","CLE","W",6,3,11,"49-40",3,"10.0","Treinen","Tomlin","","3:49","D",33195,"+",NA
"2198",90,"Sunday Jul 8","boxscore","OAK","@","CLE","W",6,0,NA,"50-40",3,"10.0","Anderson","Bieber","","3:04","D",27125,"++",NA
"2199",91,"Monday Jul 9","boxscore","OAK","@","HOU","W",2,0,NA,"51-40",3,"9.0","Montas","Peacock","Treinen","2:56","N",28301,"+++",NA
"2200",92,"Tuesday Jul 10","boxscore","OAK","@","HOU","L-wo",5,6,11,"51-41",3,"10.0","McHugh","Treinen","","4:03","N",34585,"-",NA
"2201",93,"Wednesday Jul 11","boxscore","OAK","@","HOU","W",8,3,NA,"52-41",3,"9.0","Bassitt","McCullers","","3:13","N",41119,"+",NA
"2202",94,"Thursday Jul 12","boxscore","OAK","@","HOU","W",6,4,NA,"53-41",3,"8.0","Petit","Devenski","Trivino","3:21","D",38900,"++",NA
"2203",95,"Friday Jul 13","boxscore","OAK","@","SFG","L",1,7,NA,"53-42",3,"9.0","Bumgarner","Jackson","","3:16","N",41751,"-",NA
"2204",96,"Saturday Jul 14","boxscore","OAK","@","SFG","W",4,3,NA,"54-42",3,"9.0","Petit","Watson","Treinen","3:10","N",41970,"+",NA
"2205",97,"Sunday Jul 15","boxscore","OAK","@","SFG","W",6,2,NA,"55-42",3,"8.0","Manaea","Suarez","","2:44","D",42098,"++",NA
"2206",98,"Friday Jul 20","boxscore","OAK","","SFG","L",1,5,NA,"55-43",3,"9.0","Rodriguez","Jackson","","2:47","N",45606,"-",NA
"2207",99,"Saturday Jul 21","boxscore","OAK","","SFG","W-wo",4,3,11,"56-43",3,"9.0","Petit","Smith","","4:04","N",56310,"+",NA
"2208",100,"Sunday Jul 22","boxscore","OAK","","SFG","W-wo",6,5,10,"57-43",3,"8.0","Familia","Blach","","3:19","D",44374,"++",NA
"2209",101,"Monday Jul 23","boxscore","OAK","@","TEX","W",15,3,NA,"58-43",3,"7.5","Anderson","Hamels","","3:13","N",18744,"+++",NA
"2210",102,"Tuesday Jul 24","boxscore","OAK","@","TEX","W",13,10,10,"59-43",3,"7.5","Familia","Bibens-Dirkx","Treinen","4:08","N",18249,"++++",NA
"2211",103,"Wednesday Jul 25","boxscore","OAK","@","TEX","W",6,5,NA,"60-43",3,"6.5","Trivino","Leclerc","Treinen","3:48","N",20549,"+++++",NA
"2212",104,"Thursday Jul 26","boxscore","OAK","@","TEX","W",7,6,NA,"61-43",3,"6.0","Cahill","Colon","Treinen","3:27","N",20533,"++++++",NA
"2213",105,"Friday Jul 27","boxscore","OAK","@","COL","L",1,3,NA,"61-44",3,"6.0","Freeland","Manaea","Ottavino","3:03","N",40229,"-",NA
"2214",106,"Saturday Jul 28","boxscore","OAK","@","COL","L",1,4,NA,"61-45",3,"6.0","Senzatela","Anderson","Davis","2:57","N",47809,"--",NA
"2215",107,"Sunday Jul 29","boxscore","OAK","@","COL","L",2,3,NA,"61-46",3,"6.0","Marquez","Montas","Davis","2:28","D",41988,"---",NA
"2216",108,"Monday Jul 30","boxscore","OAK","","TOR","W",10,1,NA,"62-46",3,"5.0","Jackson","Estrada","","2:59","N",11449,"+",NA
"2217",109,"Tuesday Jul 31","boxscore","OAK","","TOR","W",6,2,NA,"63-46",3,"5.0","Cahill","Gaviglio","","3:10","N",17325,"++",NA
"2218",110,"Wednesday Aug 1","boxscore","OAK","","TOR","W",8,3,NA,"64-46",2,"5.0","Manaea","Stroman","","3:04","D",17058,"+++",NA
"2219",111,"Friday Aug 3","boxscore","OAK","","DET","W-wo",1,0,13,"65-46",2,"5.0","Pagan","Farmer","","3:32","N",14766,"++++",NA
"2220",112,"Saturday Aug 4","boxscore","OAK","","DET","W",2,1,NA,"66-46",2,"5.0","Jackson","Zimmermann","Treinen","2:30","N",33668,"+++++",NA
"2221",113,"Sunday Aug 5","boxscore","OAK","","DET","W",6,0,NA,"67-46",2,"4.0","Cahill","Liriano","","2:41","D",19559,"++++++",NA
"2222",114,"Tuesday Aug 7","boxscore","OAK","","LAD","L",2,4,NA,"67-47",2,"5.5","Hill","Manaea","Jansen","3:21","N",33654,"-",NA
"2223",115,"Wednesday Aug 8","boxscore","OAK","","LAD","W",3,2,NA,"68-47",2,"5.0","Familia","Chargois","Treinen","3:00","N",32062,"+",NA
"2224",116,"Friday Aug 10","boxscore","OAK","@","LAA","L",3,4,NA,"68-48",2,"4.5","Johnson","Trivino","Parker","2:22","N",42722,"-",NA
"2225",117,"Saturday Aug 11","boxscore","OAK","@","LAA","W",7,0,NA,"69-48",2,"3.5","Jackson","Skaggs","","3:08","N",39425,"+",NA
"2226",118,"Sunday Aug 12","boxscore","OAK","@","LAA","W",8,7,NA,"70-48",2,"2.5","Rodney","Johnson","Treinen","3:49","D",38364,"++",NA
"2227",119,"Monday Aug 13","boxscore","OAK","","SEA","W",7,6,NA,"71-48",2,"2.0","Manaea","Gonzales","Treinen","3:09","N",10400,"+++",NA
"2228",120,"Tuesday Aug 14","boxscore","OAK","","SEA","W",3,2,NA,"72-48",2,"1.0","Fiers","Hernandez","Treinen","2:28","N",17419,"++++",NA
"2229",121,"Wednesday Aug 15","boxscore","OAK","","SEA","L",0,2,12,"72-49",2,"2.0","Pazos","Petit","Diaz","3:13","D",17078,"-",NA
"2230",122,"Friday Aug 17","boxscore","OAK","","HOU","W-wo",4,3,10,"73-49",2,"1.0","Treinen","Sipp","","3:33","N",23535,"+",NA
"2231",123,"Saturday Aug 18","boxscore","OAK","","HOU","W",7,1,NA,"74-49",1,"Tied","Cahill","Keuchel","","2:33","D",32204,"++",NA
"2232",124,"Sunday Aug 19","boxscore","OAK","","HOU","L",4,9,NA,"74-50",2,"1.0","Verlander","Manaea","","3:07","D",29143,"-",NA
"2233",125,"Monday Aug 20","boxscore","OAK","","TEX","W",9,0,NA,"75-50",1,"Tied","Fiers","Colon","","2:48","N",9341,"+",NA
"2234",126,"Tuesday Aug 21","boxscore","OAK","","TEX","W",6,0,NA,"76-50",1,"Tied","Anderson","Jurado","","2:26","N",11579,"++",NA
"2235",127,"Wednesday Aug 22","boxscore","OAK","","TEX","L",2,4,NA,"76-51",2,"1.0","Minor","Jackson","Leclerc","3:03","D",13139,"-",NA
"2236",128,"Thursday Aug 23","boxscore","OAK","@","MIN","L",4,6,NA,"76-52",2,"1.5","Busenitz","Cahill","Hildenberger","2:58","N",24171,"--",NA
"2237",129,"Friday Aug 24","boxscore","OAK","@","MIN","W",7,1,NA,"77-52",2,"1.5","Manaea","Odorizzi","","3:05","N",22568,"+",NA
"2238",130,"Saturday Aug 25","boxscore","OAK","@","MIN","W",6,2,NA,"78-52",2,"1.5","Fiers","Gonsalves","","3:10","N",28772,"++",NA
"2239",131,"Sunday Aug 26","boxscore","OAK","@","MIN","W",6,2,NA,"79-52",2,"1.5","Buchter","Berrios","","3:12","D",23318,"+++",NA
"2240",132,"Monday Aug 27","boxscore","OAK","@","HOU","L",4,11,NA,"79-53",2,"2.5","Cole","Anderson","","3:16","N",43171,"-",NA
"2241",133,"Tuesday Aug 28","boxscore","OAK","@","HOU","W",4,3,NA,"80-53",2,"1.5","Familia","Osuna","Treinen","3:21","N",33136,"+",NA
"2242",134,"Wednesday Aug 29","boxscore","OAK","@","HOU","L-wo",4,5,NA,"80-54",2,"2.5","Osuna","Familia","","3:27","D",32926,"-",NA
"2243",135,"Thursday Aug 30","boxscore","OAK","","SEA","L",1,7,NA,"80-55",2,"2.5","LeBlanc","Montas","","2:40","N",10844,"--",NA
"2244",136,"Friday Aug 31","boxscore","OAK","","SEA","W",7,5,NA,"81-55",2,"1.5","Petit","Leake","Treinen","3:07","N",17942,"+",NA
"2245",137,"Saturday Sep 1","boxscore","OAK","","SEA","L",7,8,NA,"81-56",2,"2.5","Paxton","Hendriks","Diaz","3:33","N",28760,"-",NA
"2246",138,"Sunday Sep 2","boxscore","OAK","","SEA","W",8,2,NA,"82-56",2,"2.5","Jackson","Hernandez","Treinen","2:53","D",21497,"+",NA
"2247",139,"Monday Sep 3","boxscore","OAK","","NYY","W",6,3,NA,"83-56",2,"2.5","Cahill","Sabathia","Treinen","3:04","D",40546,"++",NA
"2248",140,"Tuesday Sep 4","boxscore","OAK","","NYY","L",1,5,NA,"83-57",2,"3.5","Robertson","Rodney","","3:12","N",17536,"-",NA
"2249",141,"Wednesday Sep 5","boxscore","OAK","","NYY","W",8,2,NA,"84-57",2,"3.5","Fiers","Severino","","2:53","N",21004,"+",NA
"2250",142,"Friday Sep 7","boxscore","OAK","","TEX","W",8,4,NA,"85-57",2,"3.5","Petit","Gallardo","","3:17","N",15572,"++",NA
"2251",143,"Saturday Sep 8","boxscore","OAK","","TEX","W",8,6,NA,"86-57",2,"3.5","Buchter","Martin","Treinen","3:25","D",20504,"+++",NA
"2252",144,"Sunday Sep 9","boxscore","OAK","","TEX","W",7,3,NA,"87-57",2,"2.5","Kelley","Jurado","","2:59","D",27932,"++++",NA
"2253",145,"Tuesday Sep 11","boxscore","OAK","@","BAL","W",3,2,NA,"88-57",2,"3.0","Fiers","Wright","Familia","2:45","N",9141,"+++++",NA
"2254",146,"Wednesday Sep 12","boxscore","OAK","@","BAL","W",10,0,NA,"89-57",2,"3.0","Mengden","Cashner","","2:39","N",10480,"++++++",NA
"2255",147,"Thursday Sep 13","boxscore","OAK","@","BAL","L",3,5,NA,"89-58",2,"3.5","Bundy","Anderson","Givens","2:51","N",11714,"-",NA
"2256",148,"Friday Sep 14","boxscore","OAK","@","TBR","W",2,1,10,"90-58",2,"2.5","Treinen","Schultz","","3:05","N",11549,"+",NA
"2257",149,"Saturday Sep 15","boxscore","OAK","@","TBR","L",5,7,NA,"90-59",2,"3.5","Kittredge","Familia","Romo","3:19","N",15154,"-",NA
"2258",150,"Sunday Sep 16","boxscore","OAK","@","TBR","L",4,5,NA,"90-60",2,"4.5","Kittredge","Fiers","Romo","2:59","D",13197,"--",NA
"2259",151,"Tuesday Sep 18","boxscore","OAK","","LAA","L",7,9,NA,"90-61",2,"5.0","Ramirez","Trivino","Buttrey","3:42","N",15031,"---",NA
"2260",152,"Wednesday Sep 19","boxscore","OAK","","LAA","W",10,0,NA,"91-61",2,"4.0","Anderson","Pena","","2:23","N",16425,"+",NA
"2261",153,"Thursday Sep 20","boxscore","OAK","","LAA","W",21,3,NA,"92-61",2,"3.5","Jackson","Shoemaker","","3:22","D",17217,"++",NA
"2262",154,"Friday Sep 21","boxscore","OAK","","MIN","W-wo",7,6,10,"93-61",2,"3.5","Treinen","Magill","","3:21","N",27558,"+++",NA
"2263",155,"Saturday Sep 22","boxscore","OAK","","MIN","W-wo",3,2,NA,"94-61",2,"3.5","Treinen","Hildenberger","","3:03","N",36731,"++++",NA
"2264",156,"Sunday Sep 23","boxscore","OAK","","MIN","L",1,5,NA,"94-62",2,"4.5","Gibson","Cahill","May","3:02","D",35754,"-",NA
"2265",157,"Monday Sep 24","boxscore","OAK","@","SEA","W",7,3,NA,"95-62",2,"4.5","Buchter","Armstrong","","3:03","N",16491,"+",NA
"2266",158,"Tuesday Sep 25","boxscore","OAK","@","SEA","L-wo",8,10,11,"95-63",2,"5.5","Colome","Pagan","","3:57","N",12791,"-",NA
"2267",159,"Wednesday Sep 26","boxscore","OAK","@","SEA","W",9,3,NA,"96-63",2,"4.5","Buchter","Hernandez","","3:13","N",13727,"+",NA
"2268",160,"Friday Sep 28","boxscore","OAK","@","LAA","L",5,8,NA,"96-64",2,"5.5","Cole","Fiers","Robles","3:17","N",35041,"-",NA
"2269",161,"Saturday Sep 29","boxscore","OAK","@","LAA","W",5,2,NA,"97-64",2,"6.0","Cahill","Skaggs","Treinen","3:11","N",43762,"+",NA
"2270",162,"Sunday Sep 30","boxscore","OAK","@","LAA","L-wo",4,5,NA,"97-65",2,"6.0","Bridwell","Hatcher","","2:40","D",36892,"-",NA
"2271",1,"Thursday Mar 29","boxscore","PHI","@","ATL","L-wo",5,8,NA,"0-1",4,"1.0","Vizcaino","Neris","","3:28","D",40208,"-",NA
"2272",2,"Friday Mar 30","boxscore","PHI","@","ATL","W",5,4,11,"1-1",3,"0.5","Hutchison","Carle","","4:16","N",35123,"+",NA
"2273",3,"Saturday Mar 31","boxscore","PHI","@","ATL","L",2,15,NA,"1-2",4,"1.5","McCarthy","Velasquez","","3:21","N",37777,"-",NA
"2274",4,"Tuesday Apr 3","boxscore","PHI","@","NYM","L",0,2,NA,"1-3",4,"2.5","Blevins","Lively","Familia","2:51","N",21397,"--",NA
"2275",5,"Wednesday Apr 4","boxscore","PHI","@","NYM","L",2,4,NA,"1-4",5,"3.0","Gsellman","Hutchison","Familia","3:05","D",21328,"---",NA
"2276",6,"Thursday Apr 5","boxscore","PHI","","MIA","W",5,0,NA,"2-4",4,"3.0","Pivetta","Smith","","3:03","D",44488,"+",NA
"2277",7,"Saturday Apr 7","boxscore","PHI","","MIA","W",20,1,NA,"3-4",4,"3.0","Velasquez","Peters","Thompson","3:21","N",33660,"++",NA
"2278",8,"Sunday Apr 8","boxscore","PHI","","MIA","L",3,6,NA,"3-5",4,"4.0","Despaigne","Garcia","Ziegler","3:04","D",34326,"-",NA
"2279",9,"Monday Apr 9","boxscore","PHI","","CIN","W",6,5,NA,"4-5",4,"4.0","Garcia","Quackenbush","Neris","3:22","N",18127,"+",NA
"2280",10,"Tuesday Apr 10","boxscore","PHI","","CIN","W",6,1,NA,"5-5",4,"4.0","Nola","Hughes","","2:44","N",20895,"++",NA
"2281",11,"Wednesday Apr 11","boxscore","PHI","","CIN","W-wo",4,3,12,"6-5",3,"4.0","Rios","Brice","","3:48","N",19099,"+++",NA
"2282",12,"Friday Apr 13","boxscore","PHI","@","TBR","W",2,1,NA,"7-5",3,"4.0","Ramos","Colome","Neris","2:53","N",13372,"++++",NA
"2283",13,"Saturday Apr 14","boxscore","PHI","@","TBR","W",9,4,NA,"8-5",2,"3.0","Arrieta","Archer","","2:46","N",20934,"+++++",NA
"2284",14,"Sunday Apr 15","boxscore","PHI","@","TBR","W",10,4,NA,"9-5",2,"3.0","Rios","Yarbrough","","3:34","D",19841,"++++++",NA
"2285",15,"Monday Apr 16","boxscore","PHI","@","ATL","L",1,2,NA,"9-6",2,"3.0","Teheran","Nola","Vizcaino","2:40","N",17812,"-",NA
"2286",16,"Tuesday Apr 17","boxscore","PHI","@","ATL","W",5,1,10,"10-6",2,"2.0","Neris","Ramirez","","3:36","N",17913,"+",NA
"2287",17,"Wednesday Apr 18","boxscore","PHI","@","ATL","L",3,7,NA,"10-7",2,"3.0","McCarthy","Velasquez","","3:08","N",22135,"-",NA
"2288",18,"Thursday Apr 19","boxscore","PHI","","PIT","W",7,0,NA,"11-7",2,"2.0","Arrieta","Taillon","","2:53","N",19071,"+",NA
"2289",19,"Friday Apr 20","boxscore","PHI","","PIT","W",2,1,NA,"12-7",2,"2.0","Garcia","Kontos","Neris","2:42","N",20183,"++",NA
"2290",20,"Saturday Apr 21","boxscore","PHI","","PIT","W",6,2,NA,"13-7",2,"1.0","Nola","Feliz","Neris","3:11","D",28161,"+++",NA
"2291",21,"Sunday Apr 22","boxscore","PHI","","PIT","W-wo",3,2,11,"14-7",2,"0.5","Rios","Rodriguez","","3:35","D",29199,"++++",NA
"2292",22,"Tuesday Apr 24","boxscore","PHI","","ARI","L",4,8,NA,"14-8",2,"1.5","Salas","Velasquez","","3:49","N",18195,"-",NA
"2293",23,"Wednesday Apr 25","boxscore","PHI","","ARI","W",5,3,NA,"15-8",2,"0.5","Arrieta","Greinke","Neris","2:55","N",21349,"+",NA
"2294",24,"Thursday Apr 26","boxscore","PHI","","ARI","L",2,8,NA,"15-9",2,"0.5","Koch","Lively","","3:12","D",20335,"-",NA
"2295",25,"Friday Apr 27","boxscore","PHI","","ATL","W",7,3,NA,"16-9",2,"0.5","Nola","Fried","","2:50","N",27076,"+",NA
"2296",26,"Saturday Apr 28","boxscore","PHI","","ATL","L",1,4,NA,"16-10",2,"0.5","Foltynewicz","Pivetta","Vizcaino","3:10","N",27794,"-",NA
"2297",27,"Sunday Apr 29","boxscore","PHI","","ATL","L",1,10,NA,"16-11",2,"1.5","McCarthy","Velasquez","","3:26","D",31010,"--",NA
"2298",28,"Monday Apr 30","boxscore","PHI","@","MIA","L",4,8,NA,"16-12",3,"2.0","Gonzalez","Arrieta","","3:06","N",5415,"---",NA
"2299",29,"Tuesday May 1","boxscore","PHI","@","MIA","L-wo",1,2,10,"16-13",3,"2.0","Tazawa","Rios","","2:54","N",5844,"----",NA
"2300",30,"Wednesday May 2","boxscore","PHI","@","MIA","W",6,0,NA,"17-13",3,"1.5","Nola","Urena","","2:54","N",5941,"+",NA
"2301",31,"Friday May 4","boxscore","PHI","@","WSN","L",3,7,NA,"17-14",3,"2.0","Gonzalez","Pivetta","","2:49","N",35497,"-",NA
"2302",32,"Saturday May 5","boxscore","PHI","@","WSN","W",3,1,NA,"18-14",2,"1.0","Velasquez","Roark","Neris","3:13","D",34687,"+",NA
"2303",33,"Sunday May 6","boxscore","PHI","@","WSN","L-wo",4,5,NA,"18-15",2,"1.0","Doolittle","Neris","","3:33","D",30611,"-",NA
"2304",34,"Monday May 7","boxscore","PHI","","SFG","W",11,0,NA,"19-15",2,"0.5","Eflin","Samardzija","","3:05","N",17050,"+",NA
"2305",35,"Tuesday May 8","boxscore","PHI","","SFG","W",4,2,NA,"20-15",2,"0.5","Nola","Holland","Neris","2:53","N",22456,"++",NA
"2306",36,"Wednesday May 9","boxscore","PHI","","SFG","W",11,3,NA,"21-15",2,"0.5","Pivetta","Stratton","","3:19","N",18448,"+++",NA
"2307",37,"Thursday May 10","boxscore","PHI","","SFG","W",6,3,NA,"22-15",2,"0.5","Velasquez","Blach","Neris","2:47","D",30204,"++++",NA
"2308",38,"Friday May 11","boxscore","PHI","","NYM","L",1,3,NA,"22-16",2,"0.5","Ramos","Neris","Familia","2:49","N",29247,"-",NA
"2309",39,"Sunday May 13","boxscore","PHI","","NYM","W",4,2,NA,"23-16",2,"1.0","Nola","Sewald","Ramos","3:19","D",34091,"+",NA
"2310",40,"Wednesday May 16","boxscore","PHI","@","BAL","W",4,1,NA,"24-16",2,"1.0","Pivetta","Cashner","","2:42","D",29706,"++",NA
"2311",41,"Thursday May 17","boxscore","PHI","@","STL","W",6,2,NA,"25-16",2,"0.5","Velasquez","Weaver","","3:33","N",41039,"+++",NA
"2312",42,"Friday May 18","boxscore","PHI","@","STL","L",4,12,NA,"25-17",2,"0.5","Wacha","Arrieta","","3:26","N",42050,"-",NA
"2313",43,"Saturday May 19","boxscore","PHI","@","STL","W",7,6,NA,"26-17",2,"0.5","Hunter","Holland","Dominguez","3:42","D",44431,"+",NA
"2314",44,"Sunday May 20","boxscore","PHI","@","STL","L",1,5,NA,"26-18",2,"1.5","Flaherty","Nola","","2:53","D",43560,"-",NA
"2315",45,"Monday May 21","boxscore","PHI","","ATL","W",3,0,NA,"27-18",2,"0.5","Pivetta","Foltynewicz","Neris","2:33","N",21284,"+",NA
"2316",46,"Tuesday May 22","boxscore","PHI","","ATL","L",1,3,NA,"27-19",2,"1.5","McCarthy","Velasquez","Vizcaino","3:18","N",18545,"-",NA
"2317",47,"Wednesday May 23","boxscore","PHI","","ATL","W",4,0,NA,"28-19",2,"0.5","Arrieta","Gohara","","2:51","N",27647,"+",NA
"2318",48,"Friday May 25","boxscore","PHI","","TOR","L",5,6,NA,"28-20",2,"0.5","Gaviglio","Eflin","Tepera","2:59","N",21374,"-",NA
"2319",49,"Saturday May 26","boxscore","PHI","","TOR","W",2,1,NA,"29-20",1,"up 0.5","Dominguez","Biagini","Garcia","2:25","D",26788,"+",NA
"2320",50,"Sunday May 27","boxscore","PHI","","TOR","L",3,5,NA,"29-21",2,"0.5","Happ","Pivetta","Tepera","2:50","D",24182,"-",NA
"2321",51,"Monday May 28","boxscore","PHI","@","LAD","L",4,5,NA,"29-22",3,"1.0","Garcia","Morgan","Jansen","3:32","N",39759,"--",NA
"2322",52,"Tuesday May 29","boxscore","PHI","@","LAD","W",6,1,NA,"30-22",3,"1.0","Arrieta","Maeda","","3:26","N",40044,"+",NA
"2323",53,"Wednesday May 30","boxscore","PHI","@","LAD","L",2,8,NA,"30-23",3,"2.0","Stripling","Eflin","","3:03","N",43302,"-",NA
"2324",54,"Thursday May 31","boxscore","PHI","@","LAD","W",2,1,NA,"31-23",3,"1.0","Nola","Fields","Dominguez","2:40","D",40986,"+",NA
"2325",55,"Friday Jun 1","boxscore","PHI","@","SFG","L",0,4,NA,"31-24",3,"2.0","Stratton","Pivetta","","2:49","N",38119,"-",NA
"2326",56,"Saturday Jun 2","boxscore","PHI","@","SFG","L",0,2,NA,"31-25",3,"2.0","Suarez","Velasquez","Strickland","2:24","N",39208,"--",NA
"2327",57,"Sunday Jun 3","boxscore","PHI","@","SFG","L",1,6,NA,"31-26",3,"3.0","Rodriguez","Arrieta","","2:28","D",40491,"---",NA
"2328",58,"Tuesday Jun 5","boxscore","PHI","@","CHC","W",6,1,NA,"32-26",3,"2.5","Eflin","Hendricks","","2:46","N",40553,"+",NA
"2329",59,"Wednesday Jun 6","boxscore","PHI","@","CHC","L-wo",5,7,NA,"32-27",3,"3.0","Mazzoni","Morgan","","3:20","N",40275,"-",NA
"2330",60,"Thursday Jun 7","boxscore","PHI","@","CHC","L",3,4,NA,"32-28",3,"3.5","Duensing","Pivetta","Morrow","3:20","D",40057,"--",NA
"2331",61,"Friday Jun 8","boxscore","PHI","","MIL","L",4,12,NA,"32-29",3,"3.5","Chacin","Velasquez","","3:27","N",22196,"---",NA
"2332",62,"Saturday Jun 9","boxscore","PHI","","MIL","L",3,12,NA,"32-30",3,"4.5","Suter","Arrieta","","3:31","D",25304,"----",NA
"2333",63,"Sunday Jun 10","boxscore","PHI","","MIL","W",4,3,NA,"33-30",3,"3.5","Eflin","Jennings","Hunter","2:57","D",31175,"+",NA
"2334",64,"Tuesday Jun 12","boxscore","PHI","","COL","W",5,4,NA,"34-30",3,"3.0","Nola","Gray","Dominguez","3:07","N",19556,"++",NA
"2335",65,"Wednesday Jun 13","boxscore","PHI","","COL","L",2,7,NA,"34-31",3,"4.0","Anderson","Pivetta","","2:55","N",20075,"-",NA
"2336",66,"Thursday Jun 14","boxscore","PHI","","COL","W",9,3,NA,"35-31",3,"4.0","Velasquez","Marquez","","3:21","D",22500,"+",NA
"2337",67,"Friday Jun 15","boxscore","PHI","@","MIL","L",2,13,NA,"35-32",3,"4.0","Suter","Arrieta","","2:51","N",40945,"-",NA
"2338",68,"Saturday Jun 16","boxscore","PHI","@","MIL","W",4,1,NA,"36-32",3,"4.0","Eflin","Guerra","Neris","3:32","D",40531,"+",NA
"2339",69,"Sunday Jun 17","boxscore","PHI","@","MIL","W",10,9,NA,"37-32",3,"4.0","Hunter","Anderson","Thompson","4:02","D",40985,"++",NA
"2340",70,"Monday Jun 18","boxscore","PHI","","STL","W-wo",6,5,10,"38-32",2,"3.5","Thompson","Bowman","","3:39","N",22083,"+++",NA
"2341",71,"Tuesday Jun 19","boxscore","PHI","","STL","L",6,7,NA,"38-33",3,"4.5","Hicks","Dominguez","","3:16","N",21122,"-",NA
"2342",72,"Wednesday Jun 20","boxscore","PHI","","STL","W",4,3,NA,"39-33",2,"3.5","Ramos","Tuivailala","Morgan","3:08","D",26120,"+",NA
"2343",73,"Friday Jun 22","boxscore","PHI","@","WSN","W",12,2,NA,"40-33",2,"2.5","Eflin","Roark","","3:30","N",35630,"++",NA
"2344",74,"Saturday Jun 23","boxscore","PHI","@","WSN","W",5,3,NA,"41-33",2,"1.5","Nola","Fedde","Dominguez","3:03","D",40341,"+++",NA
"2345",75,"Sunday Jun 24","boxscore","PHI","@","WSN","L",6,8,NA,"41-34",2,"2.5","Madson","Dominguez","Doolittle","3:47","N",29314,"-",NA
"2346",76,"Monday Jun 25","boxscore","PHI","","NYY","L",2,4,NA,"41-35",2,"3.5","Loaisiga","Velasquez","Chapman","3:20","N",44136,"--",NA
"2347",77,"Tuesday Jun 26","boxscore","PHI","","NYY","L",0,6,NA,"41-36",2,"3.5","Severino","Arrieta","","2:38","N",43568,"---",NA
"2348",78,"Wednesday Jun 27","boxscore","PHI","","NYY","W",3,0,NA,"42-36",2,"2.5","Eflin","Cessa","Dominguez","2:43","N",42028,"+",NA
"2349",79,"Thursday Jun 28","boxscore","PHI","","WSN","W",4,3,NA,"43-36",2,"2.0","Nola","Roark","Dominguez","3:09","N",25026,"++",NA
"2350",80,"Friday Jun 29","boxscore","PHI","","WSN","L",7,17,NA,"43-37",2,"3.0","Fedde","Pivetta","","3:43","N",36903,"-",NA
"2351",81,"Saturday Jun 30","boxscore","PHI","","WSN","W",3,2,NA,"44-37",2,"3.0","Arano","Hellickson","Dominguez","3:20","N",42746,"+",NA
"2352",82,"Sunday Jul 1","boxscore","PHI","","WSN","W-wo",4,3,13,"45-37",2,"3.0","Pivetta","Miller","","4:28","D",22051,"++",NA
"2353",83,"Tuesday Jul 3","boxscore","PHI","","BAL","W",3,2,NA,"46-37",2,"2.5","Eflin","Cobb","Dominguez","2:45","N",28204,"+++",NA
"2354",84,"Wednesday Jul 4","boxscore","PHI","","BAL","W",4,1,NA,"47-37",2,"1.5","Nola","Ramirez","Arano","2:55","D",30943,"++++",NA
"2355",85,"Friday Jul 6","boxscore","PHI","@","PIT","W",17,5,NA,"48-37",1,"Tied","Ramos","Williams","","4:30","N",24846,"+++++",NA
"2356",86,"Saturday Jul 7","boxscore","PHI","@","PIT","W",3,2,NA,"49-37",1,"Tied","Arrieta","Taillon","Arano","2:48","D",28150,"++++++",NA
"2357",87,"Sunday Jul 8","boxscore","PHI","@","PIT","L",1,4,NA,"49-38",1,"Tied","Kingham","Anderson","Vazquez","2:42","D",19542,"-",NA
"2358",88,"Monday Jul 9 (1)","boxscore","PHI","@","NYM","L-wo",3,4,10,"49-39",1,"Tied","Peterson","Arano","","3:24","N",NA,"--",NA
