Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
101,Wednesday Jul 25,boxscore,COL,,HOU,W-wo,3,2,,54-47,3,1.5,Davis,McHugh,,2:56,N,40948,+,
102,Friday Jul 27,boxscore,COL,,OAK,W,3,1,,55-47,3,2.0,Freeland,Manaea,Ottavino,3:03,N,40229,++,
103,Saturday Jul 28,boxscore,COL,,OAK,W,4,1,,56-47,3,2.0,Senzatela,Anderson,Davis,2:57,N,47809,+++,
104,Sunday Jul 29,boxscore,COL,,OAK,W,3,2,,57-47,3,1.0,Marquez,Montas,Davis,2:28,D,41988,++++,
105,Monday Jul 30,boxscore,COL,@,STL,L-wo,4,5,10,57-48,3,1.0,Hudson,McGee,,3:38,N,41856,-,
106,Tuesday Jul 31,boxscore,COL,@,STL,W,6,3,,58-48,2,0.5,Gray,Flaherty,Davis,2:51,N,42636,+,
107,Wednesday Aug 1,boxscore,COL,@,STL,L,3,6,,58-49,3,1.0,Gomber,Freeland,,3:59,N,40544,-,
108,Thursday Aug 2,boxscore,COL,@,STL,L-wo,2,3,,58-50,3,2.0,Shreve,Davis,,3:08,D,41478,--,
109,Friday Aug 3,boxscore,COL,@,MIL,L-wo,3,5,,58-51,3,2.0,Burnes,Davis,,2:46,N,37751,---,
110,Saturday Aug 4,boxscore,COL,@,MIL,L,4,8,,58-52,3,3.0,Peralta,Anderson,Hader,3:09,N,40524,----,
111,Sunday Aug 5,boxscore,COL,@,MIL,W,5,4,11,59-52,3,2.0,Oberg,Knebel,Oh,3:35,D,37954,+,
112,Monday Aug 6,boxscore,COL,,PIT,W,2,0,,60-52,3,2.0,Freeland,Musgrove,Davis,2:33,N,34471,++,
113,Tuesday Aug 7,boxscore,COL,,PIT,L,2,10,,60-53,3,2.5,Taillon,Bettis,,2:34,N,31649,-,
114,Wednesday Aug 8,boxscore,COL,,PIT,L,3,4,,60-54,3,3.0,Archer,Marquez,Vazquez,3:22,D,35702,--,
115,Thursday Aug 9,boxscore,COL,,LAD,L,5,8,,60-55,3,3.5,Ferguson,Davis,Alexander,3:29,N,43076,---,
116,Friday Aug 10,boxscore,COL,,LAD,W,5,4,,61-55,3,2.5,McGee,Rosscup,Ottavino,3:31,N,42184,+,
117,Saturday Aug 11,boxscore,COL,,LAD,W-wo,3,2,,62-55,3,1.5,Shaw,Chargois,,2:54,N,47633,++,
118,Sunday Aug 12,boxscore,COL,,LAD,W-wo,4,3,,63-55,3,1.5,Davis,Floro,,2:48,D,40559,+++,
119,Tuesday Aug 14,boxscore,COL,@,HOU,W,5,1,,64-55,2,1.0,Marquez,Verlander,,3:08,N,35813,++++,
120,Wednesday Aug 15,boxscore,COL,@,HOU,L,1,12,,64-56,2,1.5,Cole,Anderson,,2:43,N,29967,-,
121,Thursday Aug 16,boxscore,COL,@,ATL,W,5,3,,65-56,2,1.5,Oh,Brach,Davis,2:53,N,23428,+,
122,Friday Aug 17,boxscore,COL,@,ATL,W,11,5,,66-56,2,1.5,Freeland,Newcomb,,3:37,N,28964,++,
123,Saturday Aug 18,boxscore,COL,@,ATL,W,5,3,10,67-56,2,0.5,Ottavino,Jackson,Davis,3:31,N,42143,+++,
124,Sunday Aug 19,boxscore,COL,@,ATL,W,4,2,,68-56,2,0.5,Marquez,Sanchez,Davis,2:41,D,33942,++++,
125,Tuesday Aug 21,boxscore,COL,,SDP,L,3,4,,68-57,2,1.5,Erlin,Anderson,Yates,2:34,N,27862,-,
126,Wednesday Aug 22,boxscore,COL,,SDP,W,6,2,,69-57,2,1.5,Gray,Nix,,2:43,N,28966,+,
127,Thursday Aug 23,boxscore,COL,,SDP,W-wo,4,3,,70-57,2,1.0,Rusin,Yates,,3:00,D,30625,++,
128,Friday Aug 24,boxscore,COL,,STL,L,5,7,,70-58,2,1.0,Martinez,Senzatela,Norris,3:31,N,43578,-,
129,Saturday Aug 25,boxscore,COL,,STL,W,9,1,,71-58,1,Tied,Ottavino,Hudson,,3:02,N,47785,+,
130,Sunday Aug 26,boxscore,COL,,STL,L,3,12,,71-59,2,1.0,Gomber,Anderson,,2:48,D,41235,-,
131,Monday Aug 27,boxscore,COL,@,LAA,L,7,10,,71-60,2,1.0,Johnson,Ottavino,Ramirez,3:37,N,35305,--,
132,Tuesday Aug 28,boxscore,COL,@,LAA,W,3,2,,72-60,1,Tied,Freeland,Ramirez,Davis,2:59,N,35207,+,
133,Thursday Aug 30,boxscore,COL,@,SDP,L-wo,2,3,13,72-61,2,1.5,Stock,Shaw,,3:36,N,20056,-,
134,Friday Aug 31,boxscore,COL,@,SDP,L,0,7,,72-62,3,1.5,Kennedy,Senzatela,,2:38,N,21408,--,
135,Saturday Sep 1,boxscore,COL,@,SDP,W,4,2,,73-62,3,0.5,Gray,Erlin,Davis,2:42,N,35779,+,
136,Sunday Sep 2,boxscore,COL,@,SDP,W,7,3,,74-62,2,0.5,Freeland,Nix,,2:47,D,28883,++,
137,Monday Sep 3,boxscore,COL,,SFG,W,9,8,,75-62,1,up 0.5,Oh,Watson,Davis,3:18,D,43256,+++,
138,Tuesday Sep 4,boxscore,COL,,SFG,W,6,2,,76-62,1,up 0.5,Rusin,Moronta,,3:09,N,24727,++++,
139,Wednesday Sep 5,boxscore,COL,,SFG,W,5,3,,77-62,1,up 1.5,Musgrave,Suarez,Ottavino,2:48,N,24790,+++++,
140,Friday Sep 7,boxscore,COL,,LAD,L,2,4,,77-63,1,up 0.5,Kershaw,Rusin,Maeda,3:53,N,41547,-,
141,Saturday Sep 8,boxscore,COL,,LAD,W,4,2,,78-63,1,up 1.5,Freeland,Buehler,Davis,2:41,N,47867,+,
142,Sunday Sep 9,boxscore,COL,,LAD,L,6,9,,78-64,1,up 0.5,Hill,Anderson,Alexander,3:51,D,40157,-,
143,Monday Sep 10,boxscore,COL,,ARI,W,13,2,,79-64,1,up 1.5,Marquez,Godley,,3:09,N,25114,+,
144,Tuesday Sep 11,boxscore,COL,,ARI,L,3,6,,79-65,1,up 1.5,Greinke,Senzatela,Hirano,3:14,N,26510,-,
145,Wednesday Sep 12,boxscore,COL,,ARI,W-wo,5,4,,80-65,1,up 1.5,Davis,Hirano,,3:07,N,31687,+,
146,Thursday Sep 13,boxscore,COL,,ARI,W,10,3,,81-65,1,up 1.5,Freeland,Koch,,3:04,D,31783,++,
147,Friday Sep 14,boxscore,COL,@,SFG,L,0,2,,81-66,1,up 0.5,Stratton,Anderson,,2:20,N,37800,-,
148,Saturday Sep 15,boxscore,COL,@,SFG,L,0,3,,81-67,2,0.5,Bumgarner,Marquez,Smith,2:28,N,38204,--,
149,Sunday Sep 16,boxscore,COL,@,SFG,W,3,2,,82-67,1,up 0.5,Senzatela,Rodriguez,Davis,3:02,D,38824,+,
150,Monday Sep 17,boxscore,COL,@,LAD,L,2,8,,82-68,2,0.5,Ryu,Gray,,3:07,N,45970,-,
151,Tuesday Sep 18,boxscore,COL,@,LAD,L-wo,2,3,10,82-69,2,1.5,Floro,Ottavino,,3:13,N,49537,--,
152,Wednesday Sep 19,boxscore,COL,@,LAD,L,2,5,,82-70,2,2.5,Ferguson,Oberg,Jansen,3:05,N,50141,---,
153,Friday Sep 21,boxscore,COL,@,ARI,W,6,2,,83-70,2,1.5,Marquez,Greinke,,2:54,N,28833,+,
154,Saturday Sep 22,boxscore,COL,@,ARI,W,5,1,,84-70,2,1.5,Senzatela,Corbin,,3:02,N,35094,++,
155,Sunday Sep 23,boxscore,COL,@,ARI,W,2,0,,85-70,2,1.5,Freeland,Godley,Davis,3:15,D,29191,+++,
156,Monday Sep 24,boxscore,COL,,PHI,W,10,1,,86-70,2,1.5,Gray,Eflin,,2:57,N,30336,++++,
157,Tuesday Sep 25,boxscore,COL,,PHI,W,10,3,,87-70,2,0.5,Johnson,Velasquez,,3:21,N,30217,+++++,
158,Wednesday Sep 26,boxscore,COL,,PHI,W,14,0,,88-70,1,up 0.5,Marquez,Pivetta,,2:51,N,35181,++++++,
159,Thursday Sep 27,boxscore,COL,,PHI,W,5,3,,89-70,1,up 1.0,Oberg,Arrieta,Davis,3:06,D,36448,+++++++,
160,Friday Sep 28,boxscore,COL,,WSN,W,5,2,,90-70,1,up 1.0,Freeland,Ross,Davis,2:51,N,48089,++++++++,
161,Saturday Sep 29,boxscore,COL,,WSN,L,2,12,,90-71,1,Tied,Strasburg,Gray,,3:40,N,47781,-,
162,Sunday Sep 30,boxscore,COL,,WSN,W,12,0,,91-71,1,Tied,Anderson,Fedde,,3:02,D,47833,+,
163,Monday Oct 1,boxscore,COL,@,LAD,L,2,5,,91-72,2,1.0,Buehler,Marquez,,3:21,D,47816,-,
