Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
142,Saturday Sep 8 (1),boxscore,WSN,,CHC,W,10,3,,70-72,3,7.5,Scherzer,Garcia,,2:45,D,,+,
143,Saturday Sep 8 (2),boxscore,WSN,,CHC,W,6,5,,71-72,3,7.5,Suero,Wilson,Holland,3:15,D,41346,++,
144,Tuesday Sep 11 (1),boxscore,WSN,@,PHI,W,3,1,,72-72,3,8.0,Fedde,Pivetta,Doolittle,3:27,D,,+++,
145,Tuesday Sep 11 (2),boxscore,WSN,@,PHI,W,7,6,10,73-72,3,8.0,Suero,Rios,Holland,4:16,D,19630,++++,
146,Wednesday Sep 12,boxscore,WSN,@,PHI,W,5,1,,74-72,3,8.0,Strasburg,Nola,,2:56,N,20258,+++++,
147,Thursday Sep 13,boxscore,WSN,,CHC,L,3,4,10,74-73,3,8.5,Strop,Doolittle,Rosario,3:46,D,30173,-,
148,Friday Sep 14,boxscore,WSN,@,ATL,L,5,10,,74-74,3,9.5,Gausman,Scherzer,,3:54,N,39268,--,
149,Saturday Sep 15,boxscore,WSN,@,ATL,W,7,1,,75-74,3,8.5,Rodriguez,Teheran,,3:41,D,36050,+,
150,Sunday Sep 16,boxscore,WSN,@,ATL,W,6,4,,76-74,3,7.5,Roark,Newcomb,Doolittle,3:15,D,33403,++,
151,Monday Sep 17,boxscore,WSN,@,MIA,L,5,8,,76-75,3,7.5,Garcia,Glover,Conley,3:17,N,8440,-,
152,Tuesday Sep 18,boxscore,WSN,@,MIA,W,4,2,,77-75,3,6.5,Strasburg,Alcantara,Doolittle,3:14,N,7726,+,
153,Thursday Sep 20,boxscore,WSN,,NYM,L,4,5,12,77-76,3,8.0,Rhame,Rodriguez,Sewald,4:16,N,28358,-,
154,Friday Sep 21,boxscore,WSN,,NYM,L,2,4,,77-77,3,9.0,deGrom,Ross,Gsellman,2:57,N,37895,--,
155,Saturday Sep 22,boxscore,WSN,,NYM,W,6,0,,78-77,3,9.0,Voth,Oswalt,,2:32,D,39372,+,
156,Sunday Sep 23,boxscore,WSN,,NYM,L,6,8,,78-78,3,10.0,Gagnon,Suero,Swarzak,4:14,D,34218,-,
157,Monday Sep 24,boxscore,WSN,,MIA,W,7,3,,79-78,2,9.5,Miller,Alcantara,,3:09,N,22428,+,
158,Tuesday Sep 25,boxscore,WSN,,MIA,W,9,4,,80-78,2,9.5,Scherzer,Brigham,,3:12,N,26483,++,
159,Wednesday Sep 26,boxscore,WSN,,MIA,W,9,3,7,81-78,2,8.5,Suero,Chen,,2:45,D,28680,+++,
160,Friday Sep 28,boxscore,WSN,@,COL,L,2,5,,81-79,2,9.0,Freeland,Ross,Davis,2:51,N,48089,-,
161,Saturday Sep 29,boxscore,WSN,@,COL,W,12,2,,82-79,2,8.0,Strasburg,Gray,,3:40,N,47781,+,
162,Sunday Sep 30,boxscore,WSN,@,COL,L,0,12,,82-80,2,8.0,Anderson,Fedde,,3:02,D,47833,-,
