Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
62,Saturday Jun 9,boxscore,STL,@,CIN,W,6,4,,35-27,3,3.0,Wacha,Castillo,Hicks,3:22,D,34469,+++,
63,Sunday Jun 10,boxscore,STL,@,CIN,L,3,6,,35-28,3,3.0,DeSclafani,Martinez,Hughes,3:21,D,19344,-,
64,Monday Jun 11,boxscore,STL,,SDP,W,5,2,,36-28,3,2.5,Flaherty,Lyles,Norris,2:53,N,40971,+,
65,Tuesday Jun 12,boxscore,STL,,SDP,L,2,4,,36-29,3,3.0,Cimber,Mikolas,Hand,2:25,N,40199,-,
66,Wednesday Jun 13,boxscore,STL,,SDP,L,2,4,,36-30,3,4.0,Lauer,Weaver,Hand,2:45,N,44094,--,
67,Friday Jun 15,boxscore,STL,,CHC,L,5,13,,36-31,3,5.0,Lester,Wacha,,3:29,N,46188,---,
68,Saturday Jun 16,boxscore,STL,,CHC,L,3,6,,36-32,3,5.0,Hendricks,Tuivailala,Morrow,3:23,N,47168,----,
69,Sunday Jun 17,boxscore,STL,,CHC,W,5,0,,37-32,3,4.0,Brebbia,Quintana,,3:24,N,46214,+,
70,Monday Jun 18,boxscore,STL,@,PHI,L-wo,5,6,10,37-33,3,4.0,Thompson,Bowman,,3:39,N,22083,-,
71,Tuesday Jun 19,boxscore,STL,@,PHI,W,7,6,,38-33,3,4.0,Hicks,Dominguez,,3:16,N,21122,+,
72,Wednesday Jun 20,boxscore,STL,@,PHI,L,3,4,,38-34,3,4.5,Ramos,Tuivailala,Morgan,3:08,D,26120,-,
73,Thursday Jun 21,boxscore,STL,@,MIL,L,3,11,,38-35,3,5.5,Suter,Martinez,,2:49,N,32764,--,
74,Friday Jun 22,boxscore,STL,@,MIL,L-wo,1,2,,38-36,3,6.5,Knebel,Norris,,3:19,N,36275,---,
75,Saturday Jun 23,boxscore,STL,@,MIL,W,3,2,,39-36,3,5.5,Mikolas,Jeffress,Norris,2:55,D,35551,+,
76,Sunday Jun 24,boxscore,STL,@,MIL,W,8,2,,40-36,3,4.5,Weaver,Chacin,,3:14,D,39710,++,
77,Monday Jun 25,boxscore,STL,,CLE,W,4,0,,41-36,3,4.0,Gant,Clevinger,Norris,2:48,N,42007,+++,
78,Tuesday Jun 26,boxscore,STL,,CLE,W,11,2,,42-36,3,4.0,Martinez,Kluber,,2:53,N,40288,++++,
79,Wednesday Jun 27,boxscore,STL,,CLE,L,1,5,,42-37,3,4.0,Bieber,Flaherty,,2:56,N,43598,-,
80,Friday Jun 29,boxscore,STL,,ATL,L,1,5,,42-38,3,5.5,Teheran,Mikolas,Winkler,3:14,N,46226,--,
81,Saturday Jun 30,boxscore,STL,,ATL,L,4,11,,42-39,3,5.5,Fried,Weaver,,3:11,N,46667,---,
82,Sunday Jul 1,boxscore,STL,,ATL,L,5,6,,42-40,3,5.5,Foltynewicz,Gant,Minter,3:11,D,46448,----,
83,Monday Jul 2,boxscore,STL,@,ARI,W,6,3,,43-40,3,5.5,Martinez,Ray,Norris,2:52,N,20334,+,
84,Tuesday Jul 3,boxscore,STL,@,ARI,L,2,4,,43-41,3,6.5,Greinke,Flaherty,Boxberger,2:51,N,25843,-,
85,Wednesday Jul 4,boxscore,STL,@,ARI,W,8,4,,44-41,3,6.5,Mikolas,Hirano,,3:47,N,44072,+,
86,Thursday Jul 5,boxscore,STL,@,SFG,W,11,2,,45-41,3,6.5,Weaver,Cueto,,2:35,N,38766,++,
87,Friday Jul 6,boxscore,STL,@,SFG,L,2,3,,45-42,3,7.5,Moronta,Brebbia,Smith,2:26,N,37996,-,
88,Saturday Jul 7,boxscore,STL,@,SFG,W,3,2,,46-42,3,6.5,Martinez,Samardzija,Norris,2:51,D,39606,+,
89,Sunday Jul 8,boxscore,STL,@,SFG,L,8,13,,46-43,3,7.5,Bumgarner,Brebbia,,3:47,D,38855,-,
90,Tuesday Jul 10,boxscore,STL,@,CHW,W,14,2,,47-43,3,7.0,Mikolas,Covey,,3:10,N,23245,+,
91,Wednesday Jul 11,boxscore,STL,@,CHW,L,0,4,,47-44,3,7.0,Rodon,Weaver,Soria,2:46,N,26319,-,
92,Friday Jul 13,boxscore,STL,,CIN,L,1,9,,47-45,3,6.5,Harvey,Martinez,,3:14,N,45891,--,
93,Saturday Jul 14,boxscore,STL,,CIN,L,2,8,,47-46,3,7.5,Brice,Hicks,,3:07,D,44668,---,
94,Sunday Jul 15,boxscore,STL,,CIN,W,6,4,,48-46,3,7.5,Gant,DeSclafani,Hicks,2:53,D,45808,+,
95,Thursday Jul 19,boxscore,STL,@,CHC,L,6,9,,48-47,3,8.5,Duensing,Martinez,Strop,3:29,N,41406,-,
96,Friday Jul 20,boxscore,STL,@,CHC,W,18,5,,49-47,3,7.5,Flaherty,Lester,,3:54,D,41077,+,
97,Saturday Jul 21 (1),boxscore,STL,@,CHC,L,2,7,,49-48,3,7.5,Chatwood,Weaver,,3:13,D,41004,-,
98,Saturday Jul 21 (2),boxscore,STL,@,CHC,W,6,3,,50-48,3,7.5,Tuivailala,Wilson,Norris,3:38,N,41244,+,
99,Sunday Jul 22,boxscore,STL,@,CHC,L,2,7,,50-49,4,8.5,Quintana,Mayers,,3:05,D,39737,-,
100,Monday Jul 23,boxscore,STL,@,CIN,L-wo,1,2,,50-50,4,8.5,Hughes,Norris,,2:48,N,17518,--,
101,Tuesday Jul 24,boxscore,STL,@,CIN,W,4,2,11,51-50,4,7.5,Tuivailala,Garrett,Norris,3:32,N,18379,+,
102,Wednesday Jul 25,boxscore,STL,@,CIN,L,3,7,,51-51,4,8.5,Romano,Flaherty,,3:11,D,20940,-,
103,Friday Jul 27,boxscore,STL,,CHC,W,5,2,,52-51,4,8.0,Weaver,Montgomery,Norris,2:48,N,47169,+,
104,Saturday Jul 28,boxscore,STL,,CHC,W,6,2,,53-51,4,7.0,Mikolas,Quintana,,2:41,D,47514,++,
105,Sunday Jul 29,boxscore,STL,,CHC,L,2,5,,53-52,4,8.0,Hendricks,Gant,Strop,2:53,N,45553,-,
106,Monday Jul 30,boxscore,STL,,COL,W-wo,5,4,10,54-52,4,7.5,Hudson,McGee,,3:38,N,41856,+,
107,Tuesday Jul 31,boxscore,STL,,COL,L,3,6,,54-53,4,7.5,Gray,Flaherty,Davis,2:51,N,42636,-,
108,Wednesday Aug 1,boxscore,STL,,COL,W,6,3,,55-53,4,7.5,Gomber,Freeland,,3:59,N,40544,+,
109,Thursday Aug 2,boxscore,STL,,COL,W-wo,3,2,,56-53,3,6.5,Shreve,Davis,,3:08,D,41478,++,
110,Friday Aug 3,boxscore,STL,@,PIT,L,6,7,,56-54,4,7.5,Crick,Hicks,Vazquez,3:34,N,26773,-,
111,Saturday Aug 4,boxscore,STL,@,PIT,W,8,4,,57-54,3,7.5,Hudson,McRae,,3:21,N,32473,+,
112,Sunday Aug 5,boxscore,STL,@,PIT,W,2,1,,58-54,3,6.5,Flaherty,Williams,Norris,2:58,D,19376,++,
113,Monday Aug 6,boxscore,STL,@,MIA,L,1,2,,58-55,3,7.5,Chen,Weaver,Guerra,3:04,N,8563,-,
