Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
78,Saturday Jun 23,boxscore,TEX,@,MIN,W,9,6,,34-44,5,17.0,Gallardo,Odorizzi,Kela,3:35,D,23230,+++++++,
79,Sunday Jun 24,boxscore,TEX,@,MIN,L,0,2,,34-45,5,18.0,Berrios,Colon,Rodney,2:21,D,23633,-,
80,Monday Jun 25,boxscore,TEX,,SDP,W,7,4,,35-45,5,17.0,Barnette,Stammen,Kela,3:14,N,23470,+,
81,Tuesday Jun 26,boxscore,TEX,,SDP,L,2,3,,35-46,5,18.0,Strahm,Diekman,Hand,3:07,N,21780,-,
82,Wednesday Jun 27,boxscore,TEX,,SDP,W,5,2,,36-46,5,18.0,Minor,Richard,Kela,2:24,N,21365,+,
83,Friday Jun 29,boxscore,TEX,,CHW,W,11,3,,37-46,5,17.5,Gallardo,Covey,,2:47,N,28156,++,
84,Saturday Jun 30,boxscore,TEX,,CHW,W,13,4,,38-46,5,16.5,Colon,Rodon,,3:28,N,28138,+++,
85,Sunday Jul 1,boxscore,TEX,,CHW,L,5,10,,38-47,5,16.5,Lopez,Hamels,Soria,3:16,D,22684,-,
86,Tuesday Jul 3,boxscore,TEX,,HOU,L,3,5,,38-48,5,17.5,Keuchel,Bibens-Dirkx,Rondon,3:27,N,40165,--,
87,Wednesday Jul 4,boxscore,TEX,,HOU,L,4,5,10,38-49,5,18.5,McHugh,Martin,Giles,3:33,N,43592,---,
88,Thursday Jul 5,boxscore,TEX,@,DET,W,7,5,,39-49,5,18.5,Gallardo,Boyd,Kela,2:55,N,21248,+,
89,Friday Jul 6,boxscore,TEX,@,DET,L,1,3,,39-50,5,19.5,Zimmermann,Colon,Jimenez,2:05,N,27316,-,
90,Saturday Jul 7,boxscore,TEX,@,DET,L,2,7,,39-51,5,20.5,Fiers,Hamels,,3:08,D,29174,--,
91,Sunday Jul 8,boxscore,TEX,@,DET,W,3,0,,40-51,5,20.5,Bibens-Dirkx,Fulmer,Kela,2:48,D,22047,+,
92,Monday Jul 9,boxscore,TEX,@,BOS,L,0,5,,40-52,5,20.5,Rodriguez,Minor,,2:52,N,36754,-,
93,Tuesday Jul 10,boxscore,TEX,@,BOS,L,4,8,,40-53,5,21.5,Barnes,Gallardo,,2:56,N,36883,--,
94,Wednesday Jul 11,boxscore,TEX,@,BOS,L,2,4,,40-54,5,21.5,Sale,Colon,Kimbrel,2:58,N,36920,---,
95,Friday Jul 13,boxscore,TEX,@,BAL,W,5,4,,41-54,5,21.0,Hamels,Cobb,Kela,3:08,N,17348,+,
96,Saturday Jul 14,boxscore,TEX,@,BAL,L,0,1,,41-55,5,22.0,Brach,Perez,Britton,2:45,N,38328,-,
97,Sunday Jul 15,boxscore,TEX,@,BAL,L,5,6,,41-56,5,22.0,Scott,Minor,Britton,3:02,D,18754,--,
98,Friday Jul 20,boxscore,TEX,,CLE,L,8,9,11,41-57,5,23.0,McAllister,Moore,Otero,4:48,N,28253,---,
